n_policy,pack_PPO_BipedalWalker1,pack_PPO_BipedalWalker2,pack_PPO_BipedalWalker3,pack_PPO_BipedalWalker4,pack_PPO_BipedalWalker5,pack_PPO_BipedalWalker6,pack_PPO_BipedalWalker7,pack_PPO_BipedalWalker8,pack_PPO_BipedalWalker9,pack_PPO_BipedalWalker10,pack_PPO_BipedalWalker11,pack_PPO_BipedalWalker12,pack_PPO_BipedalWalker13,pack_PPO_BipedalWalker14,pack_PPO_BipedalWalker15,pack_PPO_BipedalWalker16,pack_PPO_BipedalWalker18,pack_PPO_BipedalWalker19,pack_PPO_BipedalWalker20,pack_PPO_BipedalWalker23
57,285.558808782,257.839179888,292.010190036,249.505426918,259.567348362,277.234591682,311.27135396,306.600367644,309.24713766400004,290.29628086,283.83039675,293.90324358600003,245.327660838,277.6953689400001,303.76971189600005,290.45500338200003,280.117446472,275.85372988200004,249.96363255,304.84258655400004
58,285.558808782,257.839179888,292.010190036,249.505426918,259.567348362,277.234591682,311.27135396,306.600367644,309.24713766400004,290.29628086,283.83039675,293.90324358600003,245.327660838,299.041536874,303.76971189600005,290.45500338200003,280.117446472,275.85372988200004,249.96363255,304.84258655400004
59,285.558808782,257.839179888,293.536812386,249.505426918,259.567348362,277.234591682,311.27135396,306.600367644,309.8367372,290.92436396600004,283.83039675,293.90324358600003,245.327660838,299.041536874,303.76971189600005,291.037647196,283.99832697000005,275.85372988200004,249.96363255,304.84258655400004
60,285.558808782,257.839179888,300.866140104,249.505426918,259.567348362,277.234591682,311.27135396,306.600367644,309.8367372,290.92436396600004,283.83039675,293.90324358600003,245.327660838,299.041536874,303.76971189600005,298.18057541400003,285.533085906,279.969376866,249.96363255,304.84258655400004
61,285.558808782,257.839179888,300.866140104,249.505426918,259.567348362,277.234591682,311.27135396,306.600367644,309.8367372,290.92436396600004,283.83039675,293.90324358600003,245.327660838,299.041536874,303.76971189600005,298.18057541400003,287.34431760800004,288.287603676,249.96363255,304.84258655400004
62,285.558808782,257.839179888,300.866140104,249.505426918,259.567348362,277.234591682,311.27135396,306.600367644,309.8367372,295.89407392400005,283.83039675,293.90324358600003,250.336231368,299.041536874,303.76971189600005,298.18057541400003,290.04161923000004,291.994900418,249.96363255,304.84258655400004
63,285.558808782,257.839179888,300.866140104,249.505426918,259.567348362,277.234591682,311.27135396,306.600367644,309.8367372,295.89407392400005,283.83039675,293.90324358600003,251.420436332,299.041536874,303.76971189600005,298.18057541400003,290.04161923000004,291.994900418,249.96363255,304.84258655400004
64,285.558808782,257.839179888,300.866140104,249.505426918,259.567348362,277.234591682,311.27135396,306.600367644,309.8367372,295.89407392400005,286.31932362000003,293.90324358600003,251.420436332,299.041536874,303.76971189600005,298.18057541400003,290.04161923000004,291.994900418,261.86549876600003,304.84258655400004
65,294.503875504,257.839179888,301.9386304,249.505426918,259.567348362,277.234591682,311.27135396,306.600367644,309.8367372,295.89407392400005,286.31932362000003,293.90324358600003,251.420436332,299.041536874,303.76971189600005,298.18057541400003,290.04161923000004,292.039218864,269.30296491400003,304.84258655400004
66,294.503875504,257.839179888,301.9386304,249.505426918,259.567348362,282.03205821,311.27135396,306.600367644,309.8367372,295.89407392400005,286.31932362000003,293.90324358600003,257.012647938,299.041536874,303.76971189600005,298.18057541400003,290.04161923000004,292.747938044,269.30296491400003,304.84258655400004
67,294.503875504,257.839179888,301.9386304,249.505426918,259.567348362,286.089082202,311.27135396,306.600367644,309.8367372,295.89407392400005,286.31932362000003,293.90324358600003,257.012647938,299.041536874,303.76971189600005,298.18057541400003,290.04161923000004,292.747938044,269.30296491400003,304.84258655400004
68,294.503875504,258.218420496,301.9386304,249.505426918,269.410192646,286.089082202,311.27135396,306.600367644,309.8367372,295.89407392400005,286.31932362000003,293.90324358600003,257.012647938,299.041536874,303.76971189600005,298.18057541400003,290.04161923000004,292.747938044,271.747261034,304.84258655400004
69,294.503875504,273.606879162,301.9386304,249.505426918,280.738604436,286.089082202,311.27135396,306.600367644,309.8367372,295.89407392400005,286.31932362000003,293.90324358600003,259.030580166,299.041536874,303.76971189600005,298.18057541400003,291.103127012,292.747938044,271.747261034,304.84258655400004
70,294.503875504,273.606879162,301.9386304,249.505426918,284.36919704400003,286.089082202,311.27135396,306.600367644,309.8367372,302.38110817800003,286.31932362000003,293.90324358600003,281.32005205,299.041536874,303.76971189600005,302.016679458,291.103127012,292.747938044,271.747261034,304.84258655400004
71,294.503875504,273.606879162,301.9386304,249.505426918,284.36919704400003,286.089082202,311.27135396,306.600367644,309.8367372,302.38110817800003,288.446887314,293.90324358600003,281.32005205,299.041536874,306.25184115,302.016679458,295.188218418,292.747938044,271.747261034,304.84258655400004
72,294.503875504,273.606879162,301.9386304,249.505426918,284.36919704400003,286.089082202,311.27135396,306.600367644,309.8367372,302.38110817800003,288.446887314,293.90324358600003,283.357944322,299.041536874,306.25184115,302.016679458,295.49919468800005,292.747938044,271.747261034,304.84258655400004
73,294.503875504,273.606879162,301.9386304,249.505426918,288.407060094,286.089082202,311.27135396,306.600367644,309.8367372,302.38110817800003,288.446887314,293.90324358600003,284.577626904,299.041536874,306.25184115,302.17364923,296.97148158000005,292.747938044,271.747261034,304.84258655400004
74,294.503875504,273.606879162,302.24269188,249.505426918,295.083280998,286.089082202,311.27135396,306.600367644,309.8367372,302.38110817800003,288.446887314,293.90324358600003,284.577626904,299.041536874,306.25184115,302.426409336,301.037495262,292.747938044,271.747261034,304.84258655400004
75,294.503875504,273.606879162,302.24269188,249.505426918,295.083280998,286.089082202,311.27135396,306.600367644,309.8367372,302.38110817800003,288.446887314,293.90324358600003,284.577626904,299.041536874,307.148903936,302.426409336,302.68290564,292.747938044,271.747261034,304.84258655400004
76,294.503875504,273.606879162,302.24269188,249.505426918,295.083280998,286.089082202,311.27135396,306.600367644,309.8367372,302.38110817800003,288.446887314,293.90324358600003,284.577626904,299.041536874,307.148903936,302.426409336,302.68290564,292.747938044,274.679990982,304.84258655400004
77,294.503875504,273.606879162,302.24269188,249.505426918,295.083280998,286.089082202,311.27135396,306.600367644,309.8367372,302.38110817800003,288.446887314,293.90324358600003,284.577626904,299.041536874,307.148903936,302.426409336,302.68290564,292.747938044,274.679990982,304.84258655400004
78,294.503875504,273.606879162,302.24269188,249.505426918,295.083280998,286.089082202,311.27135396,306.600367644,309.8367372,304.935412622,288.446887314,293.90324358600003,284.577626904,299.041536874,307.148903936,302.426409336,302.68290564,292.747938044,274.679990982,304.84258655400004
79,294.503875504,273.606879162,302.24269188,249.505426918,301.639119252,286.089082202,311.27135396,306.600367644,309.8367372,304.935412622,288.446887314,293.90324358600003,284.577626904,299.041536874,307.148903936,302.426409336,302.68290564,292.747938044,274.679990982,304.84258655400004
80,294.503875504,273.606879162,302.24269188,249.505426918,305.850239994,286.089082202,311.27135396,306.600367644,309.8367372,307.658807632,288.446887314,293.90324358600003,289.610297036,299.041536874,307.148903936,302.426409336,302.68290564,292.747938044,274.679990982,304.84258655400004
81,294.503875504,273.606879162,302.24269188,249.505426918,305.850239994,286.089082202,311.27135396,306.600367644,309.8367372,307.658807632,288.446887314,293.90324358600003,290.45064318,299.041536874,307.148903936,302.426409336,302.68290564,292.747938044,274.679990982,304.84258655400004
82,294.503875504,273.606879162,302.24269188,249.505426918,306.502399408,286.089082202,311.27135396,306.600367644,309.8367372,307.658807632,288.446887314,293.90324358600003,291.882736256,299.041536874,307.148903936,302.426409336,302.68290564,292.747938044,274.679990982,304.84258655400004
83,294.503875504,273.606879162,302.24269188,249.505426918,306.502399408,286.089082202,311.27135396,306.600367644,309.8367372,307.658807632,288.446887314,293.90324358600003,291.882736256,299.041536874,307.670670148,302.901001036,302.68290564,292.747938044,274.679990982,304.84258655400004
84,294.503875504,273.606879162,302.24269188,249.505426918,306.502399408,286.089082202,311.27135396,306.600367644,309.8367372,307.658807632,288.446887314,293.90324358600003,297.36455081,299.041536874,307.670670148,302.901001036,302.68290564,292.747938044,274.679990982,304.84258655400004
85,294.503875504,273.606879162,302.24269188,249.505426918,306.502399408,286.089082202,311.27135396,306.600367644,309.8367372,308.58281022600005,288.446887314,293.90324358600003,297.36455081,299.041536874,307.670670148,304.31407588,302.68290564,292.747938044,275.43971282200005,304.84258655400004
86,295.44292411,273.606879162,302.24269188,249.505426918,307.375870584,286.089082202,311.27135396,306.600367644,309.8367372,308.58281022600005,288.446887314,293.90324358600003,297.36455081,299.041536874,307.670670148,304.31407588,302.68290564,292.747938044,281.546937676,304.84258655400004
87,295.44292411,273.606879162,302.24269188,249.505426918,307.864290768,290.017787804,311.27135396,306.600367644,309.8367372,308.58281022600005,288.446887314,293.90324358600003,297.36455081,299.041536874,307.670670148,304.31407588,302.68290564,292.747938044,289.71616946200004,304.84258655400004
88,295.44292411,273.606879162,302.24269188,249.505426918,307.864290768,290.017787804,311.27135396,306.600367644,309.8367372,308.58281022600005,288.446887314,293.90324358600003,297.36455081,299.041536874,307.670670148,304.31407588,302.68290564,292.747938044,295.819836506,304.84258655400004
