n_policy,pack_PPO_Ant1,pack_PPO_Ant2,pack_PPO_Ant3,pack_PPO_Ant4,pack_PPO_Ant5,pack_PPO_Ant6,pack_PPO_Ant7,pack_PPO_Ant8,pack_PPO_Ant9,pack_PPO_Ant10,pack_PPO_Ant11,pack_PPO_Ant12,pack_PPO_Ant13,pack_PPO_Ant14,pack_PPO_Ant15,pack_PPO_Ant16,pack_PPO_Ant17,pack_PPO_Ant18,pack_PPO_Ant19,pack_PPO_Ant20,pack_PPO_Ant21,pack_PPO_Ant22,pack_PPO_Ant23,pack_PPO_Ant24,pack_PPO_Ant25,pack_PPO_Ant26,pack_PPO_Ant27,pack_PPO_Ant28,pack_PPO_Ant29,pack_PPO_Ant30
0,998.389720439912,996.1827844984946,1002.3326950681612,999.4791276179952,1001.6828265994797,997.7332282089856,999.6542572206772,996.3903214938738,1004.9552397673676,998.0749704051389,999.9532283683176,996.1948696628618,1002.2621371147162,999.4343812825052,1001.1939653992492,1001.6782928931424,1003.627375238786,999.01823078542,1000.3224185127756,1004.0559287853922,1001.7260165248116,1004.7071246690996,1005.0889325707858,999.1380435378964,995.126321054484,997.4101763068444,999.9309004530774,1000.6362715391144,997.2401362797232,1000.924168484311
1,998.389720439912,1000.881166907819,1002.3326950681612,999.4791276179952,1001.6828265994797,997.7332282089856,999.6542572206772,1026.5254156310934,1004.9552397673676,998.0749704051389,999.9532283683176,997.717493532826,1002.2621371147162,999.4343812825052,1001.1939653992492,1004.0341327395298,1015.376451091924,999.01823078542,1000.3224185127756,1004.0559287853922,1001.7260165248116,1004.7071246690996,1005.0889325707858,999.1380435378964,998.9280233853044,997.4101763068444,999.9309004530774,1000.6362715391144,997.2401362797232,1000.924168484311
2,998.389720439912,1000.881166907819,1002.3326950681612,1006.5262509592108,1001.6828265994797,997.7332282089856,1052.7496558051414,1026.5254156310934,1004.9552397673676,998.0749704051389,999.9532283683176,997.717493532826,1002.2621371147162,1027.3833405299197,1046.893241059148,1004.0341327395298,1015.376451091924,1005.1199421231528,1000.3224185127756,1004.0559287853922,1001.7260165248116,1004.7071246690996,1005.0889325707858,999.1380435378964,998.9280233853044,997.4101763068444,999.9309004530774,1000.6362715391144,1008.4088918057151,1000.924168484311
3,998.389720439912,1000.881166907819,1002.3326950681612,1006.5262509592108,1001.6828265994797,1004.3265968038788,1052.7496558051414,1026.5254156310934,1004.9552397673676,998.0749704051389,999.9532283683176,997.717493532826,1002.2621371147162,1027.3833405299197,1046.893241059148,1004.0341327395298,1015.376451091924,1005.1199421231528,1000.3224185127756,1004.0559287853922,1001.7260165248116,1004.7071246690996,1005.0889325707858,999.1380435378964,998.9280233853044,997.4101763068444,999.9309004530774,1000.6362715391144,1052.8038148592937,1000.924168484311
4,998.389720439912,1000.881166907819,1002.3326950681612,1006.5262509592108,1001.6828265994797,1004.3265968038788,1052.7496558051414,1026.5254156310934,1004.9552397673676,998.0749704051389,999.9532283683176,997.717493532826,1002.2621371147162,1027.3833405299197,1046.893241059148,1004.0341327395298,1015.376451091924,1019.497877879516,1000.3224185127756,1004.0559287853922,1001.7260165248116,1004.7071246690996,1005.0889325707858,999.1380435378964,998.9280233853044,997.4101763068444,999.9309004530774,1000.6362715391144,1052.8038148592937,1018.219855113935
5,998.389720439912,1000.881166907819,1002.3326950681612,1006.5262509592108,1001.6828265994797,1004.3265968038788,1052.7496558051414,1026.5254156310934,1004.9552397673676,998.0749704051389,999.9532283683176,997.717493532826,1002.2621371147162,1027.3833405299197,1046.893241059148,1004.0341327395298,1073.448052268804,1019.497877879516,1000.3224185127756,1004.0559287853922,1001.7260165248116,1004.7071246690996,1005.0889325707858,999.1380435378964,998.9280233853044,997.4101763068444,999.9309004530774,1000.6362715391144,1052.8038148592937,1018.219855113935
6,998.389720439912,1000.881166907819,1002.3326950681612,1008.6765320392084,1001.6828265994797,1004.3265968038788,1052.7496558051414,1026.5254156310934,1004.9552397673676,998.0749704051389,999.9532283683176,997.717493532826,1002.2621371147162,1027.3833405299197,1046.893241059148,1004.0341327395298,1073.448052268804,1019.497877879516,1000.3224185127756,1004.0559287853922,1001.7260165248116,1004.7071246690996,1005.0889325707858,999.1380435378964,998.9280233853044,997.4101763068444,999.9309004530774,1000.6362715391144,1052.8038148592937,1018.219855113935
7,998.389720439912,1000.881166907819,1002.3326950681612,1008.6765320392084,1001.6828265994797,1004.3265968038788,1052.7496558051414,1026.5254156310934,1004.9552397673676,998.0749704051389,999.9532283683176,997.717493532826,1002.2621371147162,1027.3833405299197,1046.893241059148,1004.0341327395298,1073.448052268804,1019.497877879516,1000.3224185127756,1004.0559287853922,1033.5766034292812,1004.7071246690996,1005.0889325707858,999.1380435378964,998.9280233853044,997.4101763068444,999.9309004530774,1000.6362715391144,1052.8038148592937,1018.219855113935
8,1002.579223586855,1000.881166907819,1002.3326950681612,1008.6765320392084,1001.6828265994797,1004.3265968038788,1052.7496558051414,1026.5254156310934,1004.9552397673676,998.0749704051389,999.9532283683176,997.717493532826,1002.2621371147162,1027.3833405299197,1046.893241059148,1004.0341327395298,1073.448052268804,1019.497877879516,1000.3224185127756,1004.0559287853922,1033.5766034292812,1004.7071246690996,1005.0889325707858,999.1380435378964,998.9280233853044,997.4101763068444,999.9309004530774,1000.6362715391144,1052.8038148592937,1018.219855113935
9,1002.579223586855,1000.881166907819,1002.3326950681612,1008.6765320392084,1001.6828265994797,1004.3265968038788,1052.7496558051414,1026.5254156310934,1004.9552397673676,998.0749704051389,999.9532283683176,997.717493532826,1002.2621371147162,1027.3833405299197,1046.893241059148,1004.0341327395298,1073.448052268804,1019.497877879516,1000.3224185127756,1004.0559287853922,1078.3106722563234,1004.7071246690996,1005.0889325707858,999.1380435378964,998.9280233853044,997.4101763068444,999.9309004530774,1000.6362715391144,1052.8038148592937,1018.219855113935
