n_policy,pack_PPO_Ant1_relative_perc_criteria_best,pack_PPO_Ant2_relative_perc_criteria_best,pack_PPO_Ant3_relative_perc_criteria_best,pack_PPO_Ant4_relative_perc_criteria_best,pack_PPO_Ant5_relative_perc_criteria_best,pack_PPO_Ant6_relative_perc_criteria_best,pack_PPO_Ant7_relative_perc_criteria_best,pack_PPO_Ant8_relative_perc_criteria_best,pack_PPO_Ant9_relative_perc_criteria_best,pack_PPO_Ant10_relative_perc_criteria_best,pack_PPO_Ant11_relative_perc_criteria_best,pack_PPO_Ant12_relative_perc_criteria_best,pack_PPO_Ant13_relative_perc_criteria_best,pack_PPO_Ant14_relative_perc_criteria_best,pack_PPO_Ant15_relative_perc_criteria_best,pack_PPO_Ant16_relative_perc_criteria_best,pack_PPO_Ant17_relative_perc_criteria_best,pack_PPO_Ant18_relative_perc_criteria_best,pack_PPO_Ant19_relative_perc_criteria_best,pack_PPO_Ant20_relative_perc_criteria_best,pack_PPO_Ant21_relative_perc_criteria_best,pack_PPO_Ant22_relative_perc_criteria_best,pack_PPO_Ant23_relative_perc_criteria_best,pack_PPO_Ant24_relative_perc_criteria_best,pack_PPO_Ant25_relative_perc_criteria_best,pack_PPO_Ant26_relative_perc_criteria_best,pack_PPO_Ant27_relative_perc_criteria_best,pack_PPO_Ant28_relative_perc_criteria_best,pack_PPO_Ant29_relative_perc_criteria_best,pack_PPO_Ant30_relative_perc_criteria_best
14,0.4012249755442963,1.0,1.0,1.0,1.0,0.4203004901726812,1.0,1.0,0.96422638537913,0.0481201112276775,0.2185145089948259,0.6431349343938072,0.2947766689418621,1.0,0.2569397506975647,0.6028688904322983,0.3260008274065955,0.2860113835777476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1677099235171206,1.0,1.0,1.0
15,0.4039012486792632,1.0,1.0,0.1985498715644104,1.0,0.3037225972670653,1.0,1.0,0.3767063413475489,0.1195615022567629,0.1234914760094699,0.5521249262502743,0.2064290356966451,0.1519251160652123,0.4575901355036335,0.6690175882487078,1.0,0.1081591323973962,1.0,1.0,0.2207930577988179,0.0254196317543458,1.0,0.0021879103427516,0.1022426543027615,0.0457810214263369,0.126889167882779,1.0,1.0,0.1688017206555673
16,0.0464612816543105,0.1782563881308345,1.0,1.0,0.009166601761381,0.1971885125807206,1.0,0.0366731462456712,0.3616963791703581,1.0,1.0,0.5638942228416504,0.2934927829366605,1.0,0.2221937898255016,0.6504811040653391,0.1277500959588584,1.0,1.0,1.0,1.0,1.0,1.0,0.0190269452190699,0.0677592721909243,1.0,0.097751407241235,1.0,1.0,1.0
17,1.0,0.3604521965186881,1.0,1.0,1.0,0.4260883459327868,1.0,1.0,0.2253092957522249,0.0372186878285662,0.1370300838823052,0.2979977750249497,0.1609870688780239,1.0,0.099710168581698,0.6877315868101712,1.0,1.0,1.0,1.0,1.0,0.0618897889020417,1.0,0.0651455750302874,1.0,0.6158582626577972,1.0,0.0864045160966902,1.0,0.3312048440719242
18,1.0,0.4161256357067661,0.0769929352063434,0.2691576472735097,1.0,0.0926718570332335,0.3501965159116029,1.0,0.2702314784225002,1.0,1.0,0.2534615460757599,1.0,1.0,1.0,0.5581863012657243,1.0,1.0,1.0,1.0,0.0443635144123624,1.0,1.0,1.0,1.0,1.0,0.0743148464570741,0.1891908610542331,1.0,0.220758577926875
19,1.0,0.263047472843634,1.0,0.1751902533669159,0.0404996188572024,0.3426864281067044,0.3066837929011547,0.1050317939242472,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6201011896831767,0.1014396468943731,1.0,1.0,1.0,1.0,0.256272662599385,1.0,1.0,1.0,0.3189722706591937,1.0,0.1732281392582817,1.0,0.0265085240203458
20,1.0,1.0,0.0287089078278838,0.3687134815912845,1.0,0.4142383306301935,0.2628772147668644,1.0,1.0,1.0,0.0047121777484358,0.0364586423625729,0.2993830770148798,1.0,1.0,0.6022339144443571,0.0083565639846406,1.0,0.0201630114522942,0.177330707900402,1.0,0.1252580213470471,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0056890913349562
21,1.0,0.1830532676028218,1.0,0.270149436640737,1.0,0.3802055335710063,1.0,1.0,0.3073721157199833,1.0,0.0223995002617028,1.0,1.0,0.0806806555783177,0.0500448335061691,0.8234189095996838,1.0,1.0,0.1100655933511804,0.1227212347157132,0.1026777245632659,0.1116165760728903,1.0,1.0,1.0,1.0,0.1689148428243689,1.0,0.0027526847270453,1.0
22,1.0,1.0,1.0,0.2500160851215547,1.0,0.0414751209261802,0.0861360076727235,1.0,1.0,1.0,0.0845961903946509,1.0,1.0,0.220058678167424,1.0,0.1238639816906753,1.0,1.0,0.2877164425749317,0.0344798857367242,0.120391896454397,0.0229624239720999,1.0,1.0,1.0,1.0,1.0,0.0413462765399428,1.0,0.0394643837059399
23,1.0,1.0,0.007900148449306,0.235168646911303,0.0341843567408872,1.0,0.0604150301025076,1.0,1.0,1.0,0.1711893484501155,1.0,0.2228752668440375,0.3474173583487385,0.0554121288673493,0.0952127736486001,1.0,1.0,0.2359133967920648,0.0367975015143201,0.0498523710123316,0.0425059331392444,0.05040777157106,1.0,1.0,1.0,1.0,1.0,0.0040945464037335,1.0
24,1.0,1.0,0.0053073445065703,0.122368009396079,0.0144888882565222,1.0,1.0,1.0,1.0,0.1520731767415032,0.193067981869106,1.0,0.2859842959940282,0.3293698903270133,0.0862990064873176,0.2348206618691167,0.0070166769712315,1.0,0.1566388565736996,1.0,0.1017078492774089,1.0,0.015719736633275,1.0,1.0,1.0,1.0,1.0,1.0,0.0505836647922251
25,0.2217330191664632,0.0388548592300908,1.0,1.0,1.0,0.2243480079520512,1.0,1.0,1.0,0.0915740607320372,0.341201599985908,1.0,0.2652783894779634,0.2575789768681765,0.094932361361696,0.3399407314223033,1.0,1.0,0.10564393176701,0.022941449565229,0.1527981167195199,1.0,1.0,1.0,1.0,1.0,0.1166281066723515,1.0,0.0128388851574235,0.2022506722228063
26,1.0,0.0373718465726353,0.0311656253866694,0.005761183933805,1.0,0.1034127071219928,1.0,0.020978113347919,1.0,0.0819384005205793,0.2123015194152428,0.0033849279607724,0.1937044818368859,0.4440309205120813,1.0,0.2881835653737872,1.0,1.0,0.2354853469136858,1.0,0.0772813915206292,1.0,0.0110779380782007,1.0,0.06106690760534,0.0651090050312176,0.1094859784703168,0.0168846623389651,1.0,0.0381658686183069
27,1.0,0.3090034987757414,0.0378663479229181,0.0863108997317795,0.0242800516894433,0.0814083743882658,1.0,1.0,0.0174543424408727,0.0204993619942485,0.065399902571192,0.027679690077958,0.2051012239557557,0.1801898304480481,1.0,1.0,1.0,0.0061851847003042,0.458548212790184,1.0,0.0226924416738397,0.0411952317802105,0.043234347617721,0.0598434810443673,1.0,0.0158784908455417,1.0,0.0639029036211484,0.0145718291545702,1.0
28,0.0021937716332269,1.0,0.0010229983906998,1.0,1.0,0.0054176793673291,1.0,1.0,0.0587199749345995,1.0,0.0120225355729013,1.0,0.1921971730001888,0.2643899257752323,1.0,1.0,0.0030448511637387,0.0763437836072244,0.1541893873720494,1.0,0.0099822728873698,0.0110753565313691,0.0613511001797358,0.0925526105251008,0.0934803934100668,1.0,1.0,0.0124382829686361,1.0,0.0453520253948531
29,1.0,1.0,1.0,1.0,0.0210481712981857,1.0,0.0267342258635214,1.0,0.0095367812144406,1.0,0.1183689232649297,0.0511762222207766,0.2992158194474638,0.2214204826865075,1.0,0.1498896457889536,0.0256805163299055,0.1394456205924042,0.1754901699141529,1.0,1.0,0.0098222130419962,0.0546866658551213,0.0736186809044758,0.0017749077375068,1.0,1.0,0.0241068658543715,0.0133044231094601,1.0
30,1.0,0.2867143592587022,0.0177120114529791,0.0030883992111536,0.058847832749919,0.090463056296198,1.0,1.0,1.0,0.0200310397230059,0.1019091562704584,1.0,0.3672902698764727,0.2402472595768709,0.0078390279756653,1.0,0.0043533475154367,0.0528514552398757,0.1127205646677197,1.0,0.0404686407669678,1.0,0.0174333471084397,0.0137456229486126,0.0194294511068324,1.0,0.0231791147397593,0.0430755439601106,0.0269403415487897,1.0
31,1.0,0.0981809940273199,1.0,0.0019259237756665,0.0359470351959159,1.0,0.036329674293949,0.0465760442475066,1.0,0.0273332672906999,1.0,0.0185941320949143,0.3606237035426828,0.1193484252257785,1.0,1.0,0.0148869489835771,0.1655950506045718,0.1954402624160189,1.0,1.0,1.0,0.0078155191036315,0.1293804866830176,0.0812415039417392,1.0,0.0730588291314596,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0,0.0690040838627344,1.0,0.0265669615108705,1.0,1.0,0.0247091395314274,1.0,1.0,0.3113046049736461,0.1195857892134481,0.0180389391711963,1.0,1.0,0.1833660768940386,0.1998895410908874,0.010420973293998,0.0324880806222846,1.0,0.0051835125780544,0.0478936825260638,0.0857649398154322,0.022149177667383,1.0,1.0,1.0,1.0
33,0.0742386774006509,1.0,0.0020890479672526,1.0,0.0983009883853199,0.2200464658828916,0.0254148172343422,1.0,0.0205381408581693,0.0141979306715964,1.0,1.0,0.061938251753564,0.1347750561075708,0.0066229854007426,1.0,0.0441283146497812,0.0515093940646508,0.2312937119865033,0.0286372672283581,1.0,1.0,0.0066340341016079,0.0504282674457052,0.105922142933891,1.0,1.0,1.0,1.0,0.115239820625709
34,1.0,1.0,0.0017180751258834,1.0,0.0904536278577252,0.2117083586652015,0.0260748171065485,1.0,1.0,1.0,0.052403862165096,1.0,1.0,0.0548159195961096,1.0,0.0168287729579774,0.0322298036646125,1.0,0.2083636780265503,0.0210779992137906,1.0,1.0,0.0003754686066857,0.0424649389714553,0.035288521180952,1.0,1.0,0.0166523907564048,1.0,0.0706580252374834
35,0.0326686557036452,0.0239425632219277,1.0,1.0,0.041911699717059,0.2832558952746992,1.0,0.0136547694327563,1.0,1.0,0.1581338220513642,0.0038975991730873,1.0,0.0160002085332547,1.0,0.0337035361171017,0.0038706170438933,1.0,0.1643547671492365,0.0256255686590539,1.0,0.0080881144715051,0.0224188051228904,0.0475056139572236,0.0568022010015982,1.0,1.0,0.0145305690676778,1.0,0.0234380287508122
36,0.0358629237915045,1.0,1.0,1.0,0.0193950412752408,0.1393385920997566,1.0,1.0,1.0,1.0,0.1066379938810812,0.002674120881918,1.0,0.0182750668717273,0.006987455130443,1.0,1.0,1.0,0.1932602343033631,0.0339607514090401,0.0088459553000184,0.018938677317884,0.0331489608620445,1.0,0.0217779829123559,0.0023242114267761,1.0,0.0141838103313781,0.0388258531611162,0.0544659648972548
37,0.0735280210533844,1.0,0.0017575844368611,0.0503204040294047,0.0756327582972514,1.0,0.0070166244093998,1.0,1.0,0.0084812273084382,0.1573429613733892,0.0649462143544695,1.0,1.0,1.0,0.0065123285115407,1.0,0.0178125077579827,0.2231612550721475,0.079230871583274,1.0,0.0181635642480687,0.0849961807529316,0.0335928126500821,1.0,0.0098704617441282,1.0,1.0,1.0,0.0668494078725551
38,0.009075191564174,1.0,0.006097296005648,0.0698663446609738,0.0641505905063365,0.0290736634846869,1.0,1.0,0.0201009623232883,1.0,0.106703936223112,0.0689312338787948,1.0,1.0,0.0061240649798968,1.0,0.0171357734422763,0.061988527707647,0.1956510690340032,0.0527840319260385,1.0,1.0,0.061797102505201,0.0467362102693758,0.1073698123330435,1.0,1.0,0.0204965861900386,0.0467061022404824,1.0
