case,mean_perc_init,mean_perc_learn,mean_perc_conv,mean_perc_all
last wins train,0.21835520051471818,0.3575673099802246,0.37073419650386763,0.31555223566627016
train wins last,0.2307223983639791,0.36935481199943554,0.5367199753119344,0.37893239522511635
last wins test,0.24358538535532678,0.26589076012122986,0.2573796353919998,0.25561859362285216
test wins last,0.6198690792089404,0.6586165899748984,0.7133943148566079,0.6639599946801489
train wins test,0.24187483773813953,0.25728024828602397,0.27328292179107233,0.25747933593841194
test wins train,0.6100595941674178,0.6838912678211946,0.68998961063022,0.6613134908729441
last ties train,0.5509224011213026,0.27307787802033984,0.09254582818419797,0.3055153691086135
last ties test,0.13654553543573275,0.07549264990387185,0.029226049751392154,0.08042141169699892
train ties test,0.14806556809444268,0.0588284838927814,0.03672746757870759,0.08120717318864389
