pack_conf,p5_initialization,p5_learning,p5_stabilization
SB3_PPO_BipedalWalker_500,0.0415824426549588,0.2153250937116404,0.8257437528433511
SB3_PPO_BipedalWalker_250,0.040700012329836,0.1678955886356829,0.8383578568309604
SB3_PPO_BipedalWalker_100,0.0634969690527664,0.1975302524424775,0.8730859279329278
SB3_PPO_BipedalWalker_50,0.0710525972032295,0.1894688639734036,0.8224240119255783
SB3_PPO_BipedalWalker_25,0.0634969690527664,0.1675402571016061,0.6581070671211944
SB3_PPO_BipedalWalker_5,0.0281524261534219,0.1156800150249783,0.7632241817610702
SB3_PPO_LunarLanderContinuous_500,0.5535424509948146,0.9271219623898836,0.9594506167200728
SB3_PPO_LunarLanderContinuous_250,0.5535424509948146,0.9146514048391292,0.9675058697864782
SB3_PPO_LunarLanderContinuous_100,0.5490859700403921,0.916475904858102,0.9700589476409882
SB3_PPO_LunarLanderContinuous_50,0.5656976153359579,0.8852975248943916,0.970414000546054
SB3_PPO_LunarLanderContinuous_25,0.5638262350034214,0.8775791988794481,0.9444557133497564
SB3_PPO_LunarLanderContinuous_5,0.5192180785286479,0.8573251813531687,0.903998432731472
SB3_PPO_Ant_500,0.0088259633969827,0.5666836083157091,0.5955579116590097
SB3_PPO_Ant_250,0.0097229406585455,0.5849123823591104,0.6717266540656249
SB3_PPO_Ant_100,0.0077323569957826,0.552826951263606,0.5915814833493631
SB3_PPO_Ant_50,0.0090938230608889,0.5700483981582617,0.7529547649262158
SB3_PPO_Ant_25,0.0081298917229523,0.5949877476055424,0.7508451929112511
SB3_PPO_Ant_5,0.0087841831927957,0.5771153696488701,0.7599340023292008
SB3_PPO_Walker2d_500,0.7056769734482757,0.33270048650528,0.3628415370759935
SB3_PPO_Walker2d_250,0.7024221339557464,0.274691509074676,0.2584864011924956
SB3_PPO_Walker2d_100,0.6972267445616769,0.3451455471192285,0.3136473346496902
SB3_PPO_Walker2d_50,0.7020517619663892,0.3548609028386787,0.3407978205093924
SB3_PPO_Walker2d_25,0.6966660959648947,0.3580862319482931,0.397624686004897
SB3_PPO_Walker2d_5,0.687930950653935,0.3455883782212234,0.3680681992364562
