n_policy,PPO_Ant_seed1_mean_update_deg_Cp,PPO_Ant_seed2_mean_update_deg_Cp,PPO_Ant_seed3_mean_update_deg_Cp,PPO_Ant_seed4_mean_update_deg_Cp,PPO_Humanoid_seed1_mean_update_deg_Cp,PPO_Humanoid_seed2_mean_update_deg_Cp,PPO_Humanoid_seed3_mean_update_deg_Cp,PPO_Humanoid_seed4_mean_update_deg_Cp,PPO_HumanoidStandup_seed1_mean_update_deg_Cp,PPO_Ant_seed1_weighted_mean_best_later_deg_paired_diff,PPO_Ant_seed2_weighted_mean_best_later_deg_paired_diff,PPO_Ant_seed3_weighted_mean_best_later_deg_paired_diff,PPO_Ant_seed4_weighted_mean_best_later_deg_paired_diff,PPO_Humanoid_seed1_weighted_mean_best_later_deg_paired_diff,PPO_Humanoid_seed2_weighted_mean_best_later_deg_paired_diff,PPO_Humanoid_seed3_weighted_mean_best_later_deg_paired_diff,PPO_Humanoid_seed4_weighted_mean_best_later_deg_paired_diff,PPO_HumanoidStandup_seed1_weighted_mean_best_later_deg_paired_diff,PPO_Ant_seed1_weighted_mean_best_later_deg_Cp,PPO_Ant_seed2_weighted_mean_best_later_deg_Cp,PPO_Ant_seed3_weighted_mean_best_later_deg_Cp,PPO_Ant_seed4_weighted_mean_best_later_deg_Cp,PPO_Humanoid_seed1_weighted_mean_best_later_deg_Cp,PPO_Humanoid_seed2_weighted_mean_best_later_deg_Cp,PPO_Humanoid_seed3_weighted_mean_best_later_deg_Cp,PPO_Humanoid_seed4_weighted_mean_best_later_deg_Cp,PPO_HumanoidStandup_seed1_weighted_mean_best_later_deg_Cp,PPO_Ant_seed1_best_last_deg_paired_diff_median,PPO_Ant_seed2_best_last_deg_paired_diff_median,PPO_Ant_seed3_best_last_deg_paired_diff_median,PPO_Ant_seed4_best_last_deg_paired_diff_median,PPO_Humanoid_seed1_best_last_deg_paired_diff_median,PPO_Humanoid_seed2_best_last_deg_paired_diff_median,PPO_Humanoid_seed3_best_last_deg_paired_diff_median,PPO_Humanoid_seed4_best_last_deg_paired_diff_median,PPO_HumanoidStandup_seed1_best_last_deg_paired_diff_median
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.008884,0.0,0.0287239999999999,0.0,0.100624,0.0,0.0,0.0,0.0,0.0467645366536257,0.0446197276445198,0.0699904580337823,0.0,0.1332405256789313,0.0,0.0,0.0311736800138158,0.0,0.017768,0.0,0.0574479999999999,0.0,0.2012480000000001,0.0,0.0,0.0,0.0,0.0011244941142066582,0.00020484240010080687,0.00734524840157013,0.0,0.06939807413625457,0.0,0.0,0.0
31,0.0224613333333333,0.0059226666666666,0.0252693333333333,0.0304933333333333,0.0887919999999999,0.1164053333333334,0.2596053333333333,0.0,0.0816346666666666,0.0,0.0433852177119858,0.0475649556966414,0.0707827459106994,0.1318051537766676,0.1538895094532643,0.226175300367737,0.0,0.0401891227013009,0.0,0.0059226666666666,0.0391093333333333,0.0804133333333333,0.2663759999999999,0.28912,0.778816,0.0,0.162992,0.0,0.0,0.0038532915371357716,0.0050062415796516095,0.08442089354445818,0.12394015828750876,0.20273077729223205,0.0,0.01794205457804192
32,0.020886,0.004442,0.01996,0.0228699999999999,0.0744999999999999,0.134518,0.194704,0.0,0.061226,0.0793438222887711,0.0437181887968214,0.0476863416936536,0.0680106835591059,0.1285203475048239,0.1744952158870327,0.1831982582858564,0.0,0.033779788470042,0.0161599999999999,0.0029613333333333,0.0512186666666667,0.0683506666666665,0.2911493333333333,0.399788,0.5601173333333334,0.0,0.081496,0.00036375202867012374,0.0,0.002469938561475954,0.006097311003093173,0.0892252094889801,0.16347441804046692,0.13273123426906355,0.0,0.0
33,0.0167088,0.0139504,0.0200056,0.0226431999999999,0.1212831999999999,0.1076144,0.2410991999999999,0.037312,0.0489808,0.077518905649381,0.0,0.0478311416654004,0.0681062086758987,0.1546552238497859,0.0,0.2142644358767498,0.0966282167386979,0.0,0.0147946666666665,0.0,0.062344,0.0720503999999999,0.4255866666666665,0.0,0.6965346666666667,0.18656,0.0,0.005763172420197107,0.0,0.004107265516183525,0.00573876484763125,0.1670576586398043,0.0,0.2381457909163951,0.05626517468094988,0.0
34,0.0139239999999999,0.0116253333333333,0.0166713333333333,0.0296146666666666,0.1010693333333333,0.0896786666666666,0.2915919999999999,0.0310933333333333,0.0836906666666666,0.0789647084826799,0.0425820372885996,0.0486160357877994,0.0692336760911312,0.1389166613996115,0.0,0.2533044823073477,0.0,0.0270656501818377,0.0073973333333332,0.0,0.0658906666666666,0.0964415999999999,0.3406895999999999,0.0,0.8014408000000002,0.0,0.2572399999999999,0.0,0.0,0.006617443287248687,0.013419703175830973,0.06277758505460468,0.0,0.3049016704070973,0.0,0.010540416312915996
35,0.0134857142857142,0.0099645714285714,0.0175948571428571,0.0253839999999999,0.0926445714285714,0.0768674285714285,0.2947531428571427,0.0284102857142857,0.0717348571428571,0.0776068850702573,0.041935695666057,0.0486104705814412,0.0690711499869319,0.1348707810151687,0.0,0.2799746144033852,0.0746743296382623,0.0273498050238157,0.0044383999999999,0.0,0.0740613333333333,0.0857599999999999,0.3082117333333333,0.0,0.8568058666666667,0.0123120000000001,0.2233413333333332,0.0,0.0,0.006469737628400182,0.009742977446904217,0.06207979962258241,0.0,0.3261833270346839,0.006373256858571638,0.007884409852845858
36,0.0117999999999999,0.008719,0.0210174999999999,0.0222109999999999,0.0810639999999999,0.143316,0.2579089999999999,0.024859,0.0627679999999999,0.0787212803164272,0.0,0.0485669238769957,0.0,0.0,0.160011786465125,0.2699756678120881,0.0,0.0256089829530894,0.0029589333333333,0.0,0.0883719999999999,0.0,0.0,0.6084559999999999,0.8579287619047619,0.0,0.1116706666666666,0.0,0.0,0.00792785537499166,0.0,0.0,0.14710491716557575,0.22585343747786432,0.0,0.0
37,0.0144559999999999,0.0128479999999999,0.0186822222222222,0.019743111111111,0.1505573333333333,0.127392,0.2292524444444444,0.115088,0.093031111111111,0.07961034100319,0.0,0.0485000276418909,0.0,0.223043554704671,0.1215629287661484,0.2553361218975766,0.1383860045535845,0.0328555697187397,0.0026758095238095,0.0,0.0767213333333333,0.0,0.706504,0.3262479999999999,0.8158425714285714,0.8369200000000001,0.1986632,0.003245758726598054,0.0,0.004107156601797321,0.0,0.21320523731045182,0.05623812194242156,0.19131523035515108,0.11863569862725076,0.021826065809840693
38,0.0155143999999999,0.0234255999999999,0.0221987999999999,0.0177687999999999,0.1355015999999999,0.1352496,0.2063271999999999,0.1035792,0.0837279999999999,0.0804097818162425,0.0644908062322296,0.0484697734279262,0.0703691986099889,0.2096972313598503,0.1247422237400559,0.21812643590192,0.1331573917646486,0.032586422149775,0.0085088571428571,0.118624,0.0799530666666666,0.0,0.6468826666666665,0.3301359999999999,0.6466135555555554,0.7892399999999999,0.2086101333333333,0.0037879641898831036,0.00938414047270833,0.00678278324307156,0.0,0.202248660908444,0.08097565971724109,0.007264193295132754,0.11172979608845154,0.011783121306166017
39,0.0229614545454545,0.0212959999999999,0.0206883636363636,0.0161534545454545,0.1231832727272727,0.1229541818181818,0.2060596363636363,0.0941629090909091,0.0761163636363636,0.0821338371880848,0.0,0.0487945261569394,0.0,0.1847199133714617,0.0,0.2032524112890978,0.1112943733093571,0.0,0.0330215555555555,0.0,0.0828997818181818,0.0,0.5468693333333332,0.0,0.5743980444444444,0.599216,0.0,0.01158683192795755,0.0,0.00824391986757126,0.0,0.12982534235219598,0.0,0.08104698363638879,0.06243206863338804,0.0
40,0.0210479999999999,0.0195213333333333,0.0189643333333333,0.0148073333333333,0.1493666666666666,0.1127079999999999,0.1915066666666666,0.0955393333333333,0.0697733333333333,0.0825450235815252,0.0577606928280041,0.0485358099026944,0.0,0.2106028022939541,0.0,0.1918917890714116,0.1049847466654163,0.0,0.0394412444444444,0.0,0.0731538181818182,0.0,0.63408,0.0,0.558657309090909,0.55656,0.0,0.008424924885792086,0.0,0.0018290627075679515,0.0,0.24028612740699778,0.0,0.11320534816333533,0.06362720082042435,0.0
41,0.0216086153846153,0.0180196923076923,0.0175055384615384,0.0163230769230769,0.137876923076923,0.1040381538461538,0.1767753846153845,0.1180615384615384,0.0644061538461538,0.0826358290813423,0.059603206328363,0.0,0.0,0.2117306867052765,0.0,0.1835416082401303,0.111098917549086,0.0,0.0490046545454545,0.0,0.0,0.0,0.6466506666666666,0.0,0.5301877575757576,0.61896,0.0,0.006546674640220025,0.0,0.0,0.0,0.20107807884301696,0.0,0.0935705704712754,0.10081385849822566,0.0
42,0.0218834285714285,0.0167325714285714,0.0162551428571428,0.0151571428571428,0.1280285714285714,0.1153828571428571,0.2034377142857142,0.1141605714285714,0.0598057142857142,0.0835876687615206,0.0586970963086832,0.0637824239359744,0.0,0.1886628379855059,0.083717486954082,0.1898024130277829,0.1145778952967972,0.0,0.0598412121212121,0.0,0.0,0.0,0.5608693333333332,0.262864,0.5679213333333333,0.6466902857142857,0.0,0.004144900447896501,0.0,0.0,0.0,0.09521334563371149,0.03542942379299223,0.21614079944145448,0.09871583542736181,0.0
43,0.0204245333333332,0.0156170666666666,0.0151714666666666,0.0208159999999999,0.1194933333333333,0.1076906666666666,0.2170010666666666,0.1331754666666666,0.0558186666666666,0.0831663806644948,0.0,0.0601479938199825,0.0922888115576657,0.172840663852287,0.0803247744921969,0.2026860338829182,0.1222536584111263,0.0,0.0506348717948717,0.0,0.0,0.1000399999999999,0.4786959999999999,0.2480266666666666,0.6079405714285714,0.7051797142857142,0.0,0.0,0.0,0.0008334657453578712,0.01088823466593243,0.06255344834989066,0.03719094093350556,0.2737450459308517,0.12277201844521454,0.0
44,0.0193229999999999,0.0161729999999999,0.0160042499999999,0.0195149999999999,0.1120249999999999,0.1256535,0.2105554999999999,0.1248519999999999,0.0523299999999999,0.0831006097855694,0.0,0.0606437281303295,0.0905429546205437,0.1602982905903806,0.0983473450537595,0.2155553442753827,0.1209043501460971,0.0415102387426388,0.0434013186813186,0.0,0.0,0.0602,0.4149431111111111,0.3779493333333332,0.647815161904762,0.6978402222222222,0.0,0.0,0.0,0.0,0.0,0.048003118414057515,0.0961573813804289,0.2945343453188166,0.08985037789119416,0.0
45,0.0181863529411764,0.0152216470588235,0.0193211764705882,0.019891294117647,0.105435294117647,0.1182621176470588,0.1981698823529411,0.1175077647058823,0.0492517647058823,0.0822313109638569,0.0,0.0609987536869669,0.0903313140551612,0.0,0.0906878218761448,0.2245142334768635,0.1150651164038826,0.0,0.0376144761904761,0.0,0.0251775999999999,0.0638119999999999,0.0,0.3339696,0.6776182666666667,0.6501873777777777,0.0,0.0,0.0,0.008053199563729227,0.009096224825042076,0.0,0.04409973594569202,0.28395810487020634,0.05744894488621058,0.0
46,0.0171759999999999,0.0187235555555555,0.0228837777777777,0.0195773333333333,0.0995777777777777,0.1121146666666666,0.1871604444444444,0.1109795555555555,0.0498493333333333,0.0,0.0610062920869692,0.063936226638055,0.0888746432395094,0.0,0.087202692644585,0.2241913201303892,0.1066917770116406,0.0373758394100949,0.0,0.0782560000000001,0.0650597333333333,0.0707448,0.0,0.3242064,0.6906834117647059,0.5571540363636364,0.060008,0.0,0.0044510223665022615,0.008120524133568455,0.005737379036472021,0.0,0.040999519135712766,0.20425164353233194,0.02544158834805549,0.004558053726297917
47,0.0209987368421052,0.0189174736842105,0.0216793684210526,0.018546947368421,0.0943368421052631,0.1062138947368421,0.177309894736842,0.122298947368421,0.0472256842105263,0.0820663617542527,0.0632673503164248,0.0652236439360336,0.0899171556097944,0.0,0.0815162443263477,0.2116724327004858,0.1038488515684526,0.0,0.0898080000000001,0.0958613333333334,0.0845558095238095,0.0673658666666666,0.0,0.2623439999999999,0.6821959215686275,0.5338230303030302,0.0,0.007977700735014772,0.005662346743368803,0.008347669200991698,0.007038844671085537,0.0,0.019679394947637437,0.10526206620436226,0.05433919371894125,0.0
48,0.0199487999999999,0.0179715999999999,0.0230929999999999,0.0198663999999999,0.091998,0.1048671999999999,0.1685607999999999,0.1196319999999999,0.0448643999999999,0.0819171532692664,0.0601785519320163,0.0662358413640276,0.0901236020584796,0.0794848322502043,0.0798669592804811,0.203866712738609,0.1025170094020751,0.0,0.029936,0.0795466666666666,0.1080868571428571,0.0789733333333333,0.04756,0.242108,0.6741374035087718,0.5252594871794872,0.0,0.0,0.0024153622473476327,0.01632919688064701,0.011271224977061373,0.01708258022148662,0.02868637000657187,0.12564999183740017,0.06178566411816987,0.0
49,0.0202659047619047,0.0171158095238095,0.0219933333333333,0.0189203809523809,0.1066742857142857,0.1029660952380952,0.1605340952380952,0.113935238095238,0.0652921904761904,0.0827511751525636,0.0,0.0656462870724144,0.0902346348815747,0.1291524783853339,0.0800071556754582,0.196375400153004,0.1015265033027441,0.0602768302222532,0.0266919999999999,0.0,0.1155768888888888,0.07166,0.3060719999999999,0.2401053333333333,0.6633164631578947,0.5175538461538461,0.473848,0.003861250253926418,0.0,0.009432629660868441,0.003071615884916258,0.11968360795731309,0.03926189401427019,0.11435288854126104,0.0627283054263556,0.02442437231284786
50,0.0193447272727272,0.0164170909090909,0.0253158181818181,0.0180603636363636,0.1111003636363636,0.0982858181818181,0.1541323636363636,0.1101679999999999,0.0623716363636363,0.0821044023858996,0.0700374179499607,0.0670218623666277,0.0879241957982906,0.1522949551382055,0.0,0.1908609743920915,0.1003877072467369,0.060677653798381,0.0160151999999999,0.0017439999999999,0.139242311111111,0.0557355555555555,0.4525159999999999,0.0,0.6599430857142858,0.5076272,0.453144,0.0,0.0012556059305772922,0.01696567620004383,0.0014141224813842557,0.15245876831131944,0.0,0.12419034662928032,0.057692717556252895,0.023688580226588263
51,0.018503652173913,0.0161954782608695,0.0252279999999999,0.0176337391304347,0.1062699130434782,0.1032452173913043,0.147430956521739,0.1086949565217391,0.0596598260869565,0.0,0.0713084266532517,0.0680694278534409,0.0857752834226893,0.145741000761216,0.0782075996407088,0.180684416401139,0.1006561217449879,0.0585711719745049,0.0,0.0087573333333333,0.1593306181818181,0.0445884444444444,0.4156568,0.2123520000000001,0.6357497142857143,0.5132378,0.3867319999999999,0.0,0.0010863650196332314,0.016407334229719968,0.0,0.09422803678456988,0.026624801184973422,0.06394710038010433,0.07529887908944286,0.017022735850048626
52,0.0177326666666666,0.0155206666666666,0.0241768333333333,0.0168989999999999,0.1125659999999999,0.1185493333333333,0.1412879999999999,0.1041659999999999,0.0571739999999999,0.0781516905838854,0.0,0.0683700070695971,0.0848008066310782,0.1497280205910602,0.1076637433582077,0.0,0.1000858641981052,0.0581096250317822,0.0,0.0,0.1691475151515151,0.0364814545454545,0.4646591999999999,0.4480106666666667,0.0,0.5065124117647058,0.275796,0.0,0.0,0.018574698360044627,0.0,0.132924314099953,0.09811907800298274,0.0,0.06640076891741521,0.004582856263822849
53,0.0170233599999999,0.0148998399999999,0.0234596799999999,0.0162230399999999,0.1082031999999999,0.11380736,0.1356364799999999,0.0999993599999999,0.0548870399999999,0.0,0.0684233545282954,0.0690781621130478,0.0843064472751546,0.1521944118421767,0.1150989644454026,0.0,0.0971242825262168,0.0575742292815221,0.0,0.0,0.1764503589743589,0.0304012121212121,0.4827451428571429,0.4991933333333334,0.0,0.4719728104575164,0.185288,0.0,0.0014778226423517657,0.01844548176863413,0.0,0.13520054267566844,0.09362961722086295,0.0,0.027347171725790473,0.0
54,0.0163686153846153,0.0152824615384615,0.0238259999999999,0.0155990769230769,0.1313692307692307,0.1265443076923077,0.1304196923076923,0.1052981538461538,0.0527759999999999,0.0,0.0725389800659103,0.0696001134770964,0.0,0.1888004411186889,0.144239203829835,0.0,0.096071398653151,0.057255765999611,0.0,0.010544,0.1863551648351648,0.0,0.5977888571428571,0.6123512,0.0,0.4610560935672514,0.1323485714285714,0.0,0.0017776441791793746,0.016747556979572677,0.0,0.29790759125676675,0.1760691767918243,0.0,0.051523732835786054,0.0
55,0.0157623703703703,0.0147164444444444,0.0229435555555555,0.0150213333333333,0.1265037037037036,0.1271917037037037,0.1344186666666666,0.1013982222222222,0.0508213333333333,0.0895929962619225,0.0,0.0700219845869813,0.0,0.2019923587448593,0.1665188860693681,0.0999129680135883,0.094025818267851,0.0571003421695985,0.0,0.0,0.1910320761904761,0.0,0.6313966666666666,0.7319728000000001,0.2383919999999999,0.4408104842105263,0.0992614285714285,0.0,0.0,0.018625885103684667,0.0,0.24655338736125865,0.18882723753834652,0.05503295006899932,0.0336096096888696,0.0
56,0.0151994285714285,0.0142054285714285,0.0221241428571428,0.0144848571428571,0.1219857142857142,0.1390485714285714,0.1323648571428571,0.0983339999999999,0.0490062857142857,0.0935329881093283,0.0877662446187549,0.069986160970388,0.0,0.2100344284944676,0.1890906947367223,0.1026471847847138,0.0926438710443909,0.057104950561685,0.0,0.0004079999999999,0.1911500666666666,0.0,0.6487525333333334,0.7900994285714285,0.2849306666666666,0.4254449142857142,0.0772033333333333,0.0,0.0011776415324919118,0.012057546453533297,0.0,0.22663931511087,0.2397228298476516,0.06347399508915444,0.04154490200558685,0.0
57,0.0146753103448275,0.0137155862068965,0.0213612413793103,0.0139853793103448,0.1177793103448275,0.1342537931034483,0.1278005517241379,0.094943172413793,0.0473164137931034,0.0934757330511047,0.089480676663571,0.0692600313244072,0.0,0.216789876437222,0.1677676390604021,0.0951399969198872,0.0905945049725486,0.0578652544430046,0.0,0.0001359999999999,0.1850326470588235,0.0,0.6811117090909091,0.6479205714285714,0.2172773333333333,0.4030161038961039,0.0617626666666666,0.0,0.0,0.010876498500481072,0.0,0.23887404086776054,0.04908985564201987,0.03561457511872468,0.026666641262204666,0.0
58,0.0149437333333333,0.0132583999999999,0.0227046666666666,0.0172317333333333,0.1138533333333333,0.1474338666666667,0.1235405333333333,0.0917783999999999,0.0457391999999999,0.0,0.0,0.0694765361550007,0.1193899716932107,0.216072209266934,0.1724658309489269,0.0875210437908414,0.08784049207301,0.0,0.0,0.0,0.1872325751633986,0.1113759999999999,0.6929744242424243,0.6881266666666666,0.15332,0.3706703557312252,0.0,0.0,0.0,0.012722259753021,0.01373798590950798,0.20937882796970866,0.16787365807266588,0.013965976803680627,0.0016622343670734466,0.0
59,0.0152965161290322,0.0133919999999999,0.0219722580645161,0.0167667096774193,0.122258064516129,0.1435215483870967,0.120310193548387,0.0960931612903225,0.0465558709677419,0.1009527324677353,0.0934021012325624,0.0695465930211541,0.1169361804721869,0.2298760984862197,0.1745876777487239,0.0847473900387471,0.0868171398838249,0.0711092250339515,0.0258799999999999,0.0174,0.1855920935672514,0.1140106666666666,0.7217426666666666,0.7046709333333333,0.126128,0.3611251594202899,0.071056,0.0019213894465841463,0.0013311127164736692,0.014217963479199302,0.011621085352873234,0.3087218669291808,0.1633349764406284,0.0020031182486340143,0.036941674163586034,0.004486216741932281
60,0.0148184999999999,0.0129734999999999,0.0212856249999999,0.0162427499999999,0.1184374999999999,0.14327475,0.1165504999999999,0.0930902499999999,0.0451009999999999,0.095989945957901,0.0878462914021486,0.0691073824454015,0.1164699309484644,0.2337110439360246,0.1806453617197519,0.0,0.085786609163158,0.0,0.0086266666666666,0.0058,0.1835776842105262,0.0864853333333333,0.7369268571428571,0.7443307636363636,0.0,0.3479733866666666,0.0,0.0,0.0,0.016039898470984592,0.007710608246370862,0.24575880052857862,0.18952731248813406,0.0,0.037262704711646055,0.0
61,0.0143694545454545,0.0125803636363636,0.020640606060606,0.0157505454545454,0.1194552727272727,0.1389330909090909,0.1130186666666666,0.0943694545454545,0.043836606060606,0.0867493990012842,0.0,0.0,0.1172783209548825,0.2390256920118551,0.1814685115226685,0.0,0.0857062008247492,0.0459982670462691,0.0043133333333333,0.0,0.0,0.0706079999999999,0.7522966095238095,0.7727956363636364,0.0,0.3464578953846153,0.003376,0.0,0.0,0.0,0.003928541306662972,0.27494927784248835,0.1669940749579497,0.0,0.04708260300974574,0.0012556965422099997
62,0.0139468235294117,0.0127562352941176,0.0200335294117646,0.015287294117647,0.1184294117647058,0.1348468235294117,0.1173209411764705,0.0915938823529411,0.042547294117647,0.0,0.1076783184323372,0.0581187017315866,0.0,0.2427356847189603,0.1697437467520089,0.0708094456676142,0.0,0.0443412417955716,0.0,0.0185599999999999,0.0,0.0,0.7613015333333333,0.7306744615384616,0.2592959999999999,0.0,0.0011253333333333,0.0,0.0017155654539442004,0.0,0.0,0.27349378840182337,0.07827294175943389,0.03283108116890335,0.0,0.0
63,0.0135483428571428,0.0135965714285714,0.0194611428571428,0.0148505142857142,0.1150457142857142,0.1492404571428571,0.1139689142857142,0.0951650285714285,0.0424228571428571,0.0,0.1084162229498116,0.0,0.1580486604143741,0.2237340845812315,0.1700135740881616,0.0650297550246824,0.1168125206245866,0.047450286627783,0.0,0.0448266666666666,0.0,0.0,0.693118294117647,0.74957810989011,0.1559359999999999,0.2165840000000001,0.0142866666666666,0.0,0.00355799979018798,0.0,0.0,0.03473235166452084,0.14556621108775425,0.021366128596605492,0.05289462059602268,0.003769129157324802
64,0.0131719999999999,0.0132188888888888,0.0189205555555555,0.0145468888888888,0.1118888888888888,0.1450948888888888,0.110803111111111,0.0986911111111111,0.0417395555555555,0.1031583610418745,0.0,0.0836590986714333,0.148853452718266,0.2053500060666717,0.1609054327563709,0.0614436137446692,0.1150009936856539,0.0491433118528382,0.0,0.0,0.0,0.0,0.6290100392156861,0.710719161904762,0.0976359999999999,0.356264,0.0292984,0.0,0.0,0.0,0.0016994344855189997,0.019912998045936707,0.06314506197710418,0.006390004703118617,0.0829166632255393,0.007628318183501848
65,0.0128159999999999,0.0128616216216216,0.0184091891891891,0.0141537297297297,0.1160259459459459,0.1535463783783783,0.1078084324324324,0.0970231351351351,0.0406843243243243,0.0,0.0,0.0838118809824899,0.0,0.1994304922954912,0.1599393415401959,0.0574331353993738,0.139007439471975,0.0500779896890751,0.0,0.0,0.0,0.0,0.6169896140350876,0.7191802666666666,0.0585816,0.409404,0.0384602666666666,0.0,0.0,0.0,0.0,0.1303009114463921,0.12842666851411752,0.0,0.12441738769444571,0.00724633860665172
66,0.013862947368421,0.0125231578947368,0.0179247368421052,0.0137812631578947,0.1129726315789473,0.1495056842105263,0.1049713684210526,0.094469894736842,0.0396136842105263,0.0,0.0,0.084114323995877,0.0,0.1879184908306689,0.1540198629366415,0.0,0.1335925742725996,0.0,0.0,0.0,0.0,0.0,0.5835042526315789,0.6853915294117647,0.0,0.3735623999999999,0.0,0.0,0.0,0.0,0.0,0.05282554751109367,0.07257939740643139,0.0,0.07602461035082404,0.0
67,0.0135074871794871,0.0122020512820512,0.0174651282051281,0.0134278974358974,0.1100758974358974,0.1471694358974359,0.1090328205128204,0.0946436923076922,0.0385979487179487,0.102892051060241,0.0,0.0,0.0,0.0,0.1502729950127176,0.0858872909026029,0.1365718868052318,0.0,0.0,0.0,0.0,0.0,0.0,0.664107137254902,0.263368,0.4031882666666666,0.0,0.004834157105973697,0.0,0.0,0.0,0.0,0.087552844426559,0.04386232626296864,0.10145394144674265,0.0
