n_policy,pack_PPO_BipedalWalker1,pack_PPO_BipedalWalker2,pack_PPO_BipedalWalker3,pack_PPO_BipedalWalker4,pack_PPO_BipedalWalker5,pack_PPO_BipedalWalker6,pack_PPO_BipedalWalker7,pack_PPO_BipedalWalker8,pack_PPO_BipedalWalker9,pack_PPO_BipedalWalker10,pack_PPO_BipedalWalker11,pack_PPO_BipedalWalker12,pack_PPO_BipedalWalker13,pack_PPO_BipedalWalker14,pack_PPO_BipedalWalker15,pack_PPO_BipedalWalker16,pack_PPO_BipedalWalker17,pack_PPO_BipedalWalker18,pack_PPO_BipedalWalker19,pack_PPO_BipedalWalker20,pack_PPO_BipedalWalker21,pack_PPO_BipedalWalker22,pack_PPO_BipedalWalker23,pack_PPO_BipedalWalker24,pack_PPO_BipedalWalker25,pack_PPO_BipedalWalker26,pack_PPO_BipedalWalker27,pack_PPO_BipedalWalker28,pack_PPO_BipedalWalker29,pack_PPO_BipedalWalker30
12,-91.990558762,-111.936073912,-92.000417254,-111.743697316,-110.76453597,-111.735456936,-100.236154534,-99.791115496,-103.334980956,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-93.055611048,-116.048039842,-92.872823116,-104.721972382,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-105.708764838,-101.69837234,-111.899899912
13,-91.990558762,-111.936073912,-92.000417254,-111.743697316,-110.76453597,-111.735456936,-100.236154534,-99.791115496,-103.334980956,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-96.1554638,-116.048039842,-92.872823116,-104.721972382,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-105.708764838,-101.69837234,-111.899899912
14,-91.990558762,-111.936073912,-92.000417254,-111.743697316,-110.76453597,-111.735456936,-100.236154534,-99.791115496,-103.334980956,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-96.1554638,-116.048039842,-92.872823116,-104.721972382,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-105.708764838,-101.69837234,-111.899899912
15,-91.990558762,-111.936073912,-92.000417254,-111.743697316,-110.76453597,-111.735456936,-100.236154534,-99.791115496,-106.432989058,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-96.1554638,-118.733319324,-92.872823116,-104.721972382,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-105.708764838,-101.69837234,-111.899899912
16,-91.990558762,-111.936073912,-92.000417254,-111.743697316,-110.76453597,-111.735456936,-100.236154534,-99.791115496,-106.432989058,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-96.1554638,-118.733319324,-92.872823116,-104.721972382,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-105.708764838,-101.69837234,-111.899899912
17,-91.990558762,-111.936073912,-92.000417254,-111.743697316,-110.76453597,-111.735456936,-100.236154534,-99.791115496,-106.432989058,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-96.1554638,-118.733319324,-92.872823116,-104.721972382,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-105.708764838,-101.69837234,-111.899899912
18,-94.087470534,-111.936073912,-92.000417254,-111.743697316,-112.823893862,-111.735456936,-100.236154534,-99.791115496,-106.432989058,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-96.1554638,-118.733319324,-92.872823116,-104.721972382,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-105.708764838,-101.69837234,-111.899899912
19,-107.25173930399998,-111.936073912,-92.000417254,-111.743697316,-112.823893862,-111.735456936,-100.236154534,-99.791115496,-106.432989058,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-96.1554638,-118.733319324,-92.872823116,-104.721972382,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-105.708764838,-101.69837234,-111.899899912
20,-118.185668456,-111.936073912,-92.000417254,-111.743697316,-112.823893862,-111.735456936,-100.236154534,-99.791115496,-106.432989058,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-114.74983267,-118.733319324,-92.872823116,-104.721972382,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-105.708764838,-101.69837234,-111.899899912
21,-118.185668456,-115.70045241,-92.000417254,-111.743697316,-112.823893862,-111.735456936,-100.236154534,-99.791115496,-106.432989058,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-117.80418353,-118.733319324,-92.872823116,-104.721972382,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-110.248025032,-105.039210684,-111.899899912
