n_policy,pack_PPO_BipedalWalker1,pack_PPO_BipedalWalker2,pack_PPO_BipedalWalker3,pack_PPO_BipedalWalker4,pack_PPO_BipedalWalker5,pack_PPO_BipedalWalker6,pack_PPO_BipedalWalker7,pack_PPO_BipedalWalker8,pack_PPO_BipedalWalker9,pack_PPO_BipedalWalker10,pack_PPO_BipedalWalker11,pack_PPO_BipedalWalker12,pack_PPO_BipedalWalker13,pack_PPO_BipedalWalker14,pack_PPO_BipedalWalker15,pack_PPO_BipedalWalker16,pack_PPO_BipedalWalker17,pack_PPO_BipedalWalker18,pack_PPO_BipedalWalker19,pack_PPO_BipedalWalker20,pack_PPO_BipedalWalker21,pack_PPO_BipedalWalker22,pack_PPO_BipedalWalker23,pack_PPO_BipedalWalker24,pack_PPO_BipedalWalker25,pack_PPO_BipedalWalker26,pack_PPO_BipedalWalker27,pack_PPO_BipedalWalker28,pack_PPO_BipedalWalker29,pack_PPO_BipedalWalker30
12,59.897271662,-6.994889359999999,-36.117328738000005,-21.963621854,-109.766510546,16.794186011999997,88.187363452,-35.98566297600001,-103.334980956,-99.331754964,-70.60377985,18.058055192,-29.13183864,43.42609454400001,76.670180284,-41.069457652,-28.761566452,-36.641503424,-94.394513158,-47.275505816,-25.401430262,-45.725097624,-33.45469232800001,-40.91536197,112.514347018,-94.063696226,-98.573154426,-25.203157324,-93.842990462,-47.303153192
13,-81.959351656,22.766969126,34.621236636,-90.391789728,-80.47773747599999,96.299204482,-54.081994284,41.049607432,-50.480234416,-101.196904048,-39.136868432,59.85650642800001,56.312305184,94.622568846,-96.1554638,-22.590412734,-21.368274922,-33.317234902,-50.948964218,-28.180689322,46.746083592,-99.974245736,-19.124738546,-34.667405088,82.191752192,-93.69139779,-67.56270779799999,-23.86033981,-52.112053176,-37.194422626
14,9.254686108,95.157477434,151.992993842,-98.44170149,-82.272902462,128.429899746,128.67710111000002,86.86412402399999,-46.113654686,-99.228623474,-87.35337390999999,97.577184584,46.16928643599999,113.959638826,-85.92333531999999,3.6042623040000006,125.7656072,-104.528918324,-97.174662908,-30.713051078,-93.980292946,-90.72602323,103.628864818,-38.685633892000006,98.90311578,-94.947515796,-99.661544062,38.374837512,-28.288737012,-37.751260868
15,-9.128189219999998,-58.259023982,142.94407664599998,-40.251350656,-52.86604656,141.816549404,-40.940868268,100.287570398,-106.432989058,-75.829842534,-74.67271366,109.988541654,105.610059748,113.507330984,138.185005452,-118.733319324,83.9990252,119.055350466,-40.157757924,-33.630357812,-93.629373654,-29.119177034,119.887021916,-32.222101178,128.158647842,-95.029163594,-36.901626926,103.71629939,-31.48509927,-38.634426248
16,128.57660366800002,96.106976436,195.25731412,-32.319290384,-46.05468343,140.245856518,-9.909975071999998,114.699859084,-98.41062595799998,-56.066221256,-99.747415074,158.966040836,119.175391024,123.11294068,-58.935879514,-105.364503562,113.366199386,-78.24412347399999,-85.789224252,-110.06077171,-93.480064146,-14.68897905,135.903866668,-91.954994682,144.347360244,-95.129801636,74.059031184,117.60493206,-91.087155512,-22.649592084
17,157.43583417000002,-75.91452402,192.082945112,-32.66287703,-110.32980354,124.51423141,143.88032988999998,119.072134256,-40.220549798,-50.99986483,-32.944608916,189.15846708,139.566074818,113.546207346,153.1714048,-91.382695424,125.22278617,104.106989616,14.589265026,-28.301782386,84.944726628,22.46722885,106.127719016,-92.98744311,-48.408601032,-95.321782148,136.026193882,93.057933322,-100.107466566,-43.87516096
18,-94.087470534,103.951326106,192.91704924,58.873770834,-112.823893862,120.158776922,63.189958026000006,116.230996342,-37.309082262,-45.5116969,69.01908108999999,210.817626688,140.61912845999998,134.053074332,160.08113458800003,-87.548824038,142.994633954,93.420764884,61.398095868,-33.266026126,98.61925653,62.11156629800001,129.494265786,-94.392750988,142.840431638,-94.478514672,125.032288508,-104.610561496,-93.033959892,-94.85088901
19,-107.25173930399998,-100.770749578,209.785572602,137.762885804,-88.30176306,117.971124892,173.84921302800004,101.510381336,-24.115908532,-1.0657762760000002,160.81590025,202.48603839,134.96531039200002,139.686449358,158.411093466,148.03363755799998,158.582717618,90.23281596,110.13098127,-35.331596588000004,109.144296832,72.26165758999998,160.626025972,-59.946037146,-83.739517004,130.665111424,160.434835082,-91.683316368,92.218455014,-52.765225158
20,-118.185668456,57.96291485,225.663110948,147.486649876,54.439264742,85.02161421599999,21.769950706,104.383753078,-97.104064932,67.027154454,174.16601963999997,194.854866338,125.30072787200002,-84.412056366,-114.74983267,53.44591461,178.14051428799996,-63.735472314,54.16611961,-35.981926192,133.52326382599998,86.006210188,174.620526152,94.382034058,-75.629398224,-94.331598636,178.56686316399998,-91.1579722,65.257788374,-21.632641162
21,-116.385157262,-115.70045241,223.769874108,151.805408378,48.6029946,-33.717269931999994,133.867516826,122.502434364,-90.42483217,146.875319322,183.797784316,164.194299736,116.490855106,150.703537374,-117.80418353,146.09924053,200.16507351,56.027370148,120.600376188,70.12011834799999,137.533866082,19.478208044,184.047774788,95.177123898,-83.23975452,24.056044838,122.594942304,-110.248025032,-105.039210684,-101.24659786
