pack_seed,limit_metric,a,b,T
pack_PPO_BipedalWalker1,from_first_last,11.0,96.0,115
pack_PPO_BipedalWalker2,from_first_last,11.0,87.0,115
pack_PPO_BipedalWalker3,from_first_last,11.0,43.0,115
pack_PPO_BipedalWalker4,from_first_last,14.0,104.0,115
pack_PPO_BipedalWalker5,from_first_last,46.0,102.0,115
pack_PPO_BipedalWalker6,from_first_last,11.0,94.0,115
pack_PPO_BipedalWalker7,from_first_last,11.0,103.0,115
pack_PPO_BipedalWalker8,from_first_last,11.0,33.0,115
pack_PPO_BipedalWalker9,from_first_last,26.0,49.0,115
pack_PPO_BipedalWalker10,from_first_last,15.0,79.0,115
pack_PPO_BipedalWalker11,from_first_last,16.0,99.0,115
pack_PPO_BipedalWalker12,from_first_last,11.0,42.0,115
pack_PPO_BipedalWalker13,from_first_last,11.0,104.0,115
pack_PPO_BipedalWalker14,from_first_last,37.0,104.0,115
pack_PPO_BipedalWalker15,from_first_last,11.0,32.0,115
pack_PPO_BipedalWalker16,from_first_last,18.0,61.0,115
pack_PPO_BipedalWalker18,from_first_last,22.0,54.0,115
pack_PPO_BipedalWalker19,from_first_last,16.0,30.0,115
pack_PPO_BipedalWalker20,from_first_last,16.0,104.0,115
pack_PPO_BipedalWalker23,from_first_last,11.0,91.0,115
pack_PPO_BipedalWalker1,from_mean,46.0,49.0,115
pack_PPO_BipedalWalker2,from_mean,59.0,62.0,115
pack_PPO_BipedalWalker3,from_mean,12.0,43.0,115
pack_PPO_BipedalWalker4,from_mean,17.0,20.0,115
pack_PPO_BipedalWalker5,from_mean,66.0,74.0,115
pack_PPO_BipedalWalker6,from_mean,36.0,88.0,115
pack_PPO_BipedalWalker7,from_mean,33.0,95.0,115
pack_PPO_BipedalWalker8,from_mean,12.0,14.0,115
pack_PPO_BipedalWalker9,from_mean,26.0,49.0,115
pack_PPO_BipedalWalker10,from_mean,18.0,63.0,115
pack_PPO_BipedalWalker11,from_mean,16.0,95.0,115
pack_PPO_BipedalWalker12,from_mean,11.0,24.0,115
pack_PPO_BipedalWalker13,from_mean,12.0,49.0,115
pack_PPO_BipedalWalker14,from_mean,11.0,82.0,115
pack_PPO_BipedalWalker15,from_mean,32.0,32.0,115
pack_PPO_BipedalWalker16,from_mean,44.0,50.0,115
pack_PPO_BipedalWalker18,from_mean,22.0,48.0,115
pack_PPO_BipedalWalker19,from_mean,16.0,27.0,115
pack_PPO_BipedalWalker20,from_mean,20.0,62.0,115
pack_PPO_BipedalWalker23,from_mean,11.0,28.0,115
