,env_name,min_timesteps_conv,max_timesteps_conv,mean_timesteps_conv,reward_threshold,min_reward_conv,max_reward_conv,mean_reward_conv
0,InvertedDoublePendulum-v4,147456,565248,226304.0,9100.0,9350.935,9359.465,9355.662333333334
1,Ant-v4,1568768,7206912,3108761.6,6000.0,2270.4573,3966.2493,3318.5065999999997
2,Humanoid-v4,2123776,28841984,13514547.2,,668.3098,837.10126,720.3079809999999
