n_policy,PPO_Ant_seed1,PPO_Ant_seed2,PPO_Ant_seed3,PPO_Ant_seed4,PPO_Humanoid_seed1,PPO_Humanoid_seed2,PPO_Humanoid_seed3,PPO_Humanoid_seed4,PPO_HumanoidStandup_seed1
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.00050903523121,1.1995694840099408e-05,0.0019848636192651,0.0,0.0133214300238964,0.0,0.0,0.0028086985919558
31,0.0,0.0009075350935028,0.0032158454954188,0.0048432108656401,0.021325370256903,0.0231550048377665,0.0844844604563823,0.0,0.0078599589343986
32,0.0072017123296191,0.0001945961303434,0.002693035362663,0.005570140335604,0.023826696201241,0.0348249922794511,0.0508773243525179,0.0,0.0016453668011486
33,0.0091101466011609,0.0,0.002258535602208,0.0046753925179145,0.0468321230724064,0.0,0.0943851301899816,0.0204657721877493,0.0
34,0.0083102545790755,0.0012028887219172,0.0031622470296488,0.0080149719059627,0.0157323462199118,0.0,0.1288590223989412,0.0,0.0080529661781891
35,0.0021568091646084,0.0009467510508472,0.0027637741094284,0.0022346088910042,0.0184642475659727,0.0,0.1455134211783394,0.004872251827492,0.0062135291739436
36,0.0076065494187149,0.0,0.0018371216599938,0.0,0.0,0.064003917790365,0.0993365815975297,0.0,0.0008549489931571
37,0.0069315249232294,0.0,8.009349617519972e-05,0.0,0.0631121482614497,0.0211267011065842,0.0762608639216987,0.3133946143144842,0.0127120899850576
38,0.0138130620788066,0.0042137253729166,0.0020225586301696,0.001881725790315,0.0565596833801806,0.0414868124960168,0.0045863646996399,0.2838237980655435,0.0081395252046682
39,0.0164876518966225,0.0,0.0016618159983996,0.0,0.037654502808918,0.0,0.0351202892404314,0.1589312342116368,0.0
40,0.0126994855535658,0.0027029615607053,0.0017795215199832,0.0,0.0753889184370978,0.0,0.0500678715631563,0.1873171477093527,0.0
41,0.0154044624809636,0.0033653364541996,0.0,0.0,0.0629184623899589,0.0,0.0398171985998648,0.2676913254515548,0.0
42,0.0147415913651667,0.0023267653942938,0.0009331676427489,0.0,0.024678605317971,0.0702379828520668,0.0887671499591452,0.2646288176396866,0.0
43,0.0065839585492895,0.0,0.0014099946808146,0.0087851505762139,0.0180320625695845,0.0700445424285878,0.118680419089009,0.3291493903643583,0.0
44,0.0029472976537934,0.0,0.0025347289748268,0.0038753804897784,0.0138710593361448,0.1322125035370244,0.130515760987269,0.2473017538069091,0.0003111774914756
45,0.0049423570950502,0.0,0.0036706395105606,0.0086630203632041,0.0,0.0695400990281253,0.1207663303011213,0.1771749971579659,0.0
46,0.0,0.0024755610607566,0.0062743309725556,0.0088471864620854,0.0,0.0793849738651533,0.0956894905524206,0.0674383399093825,0.0019119025289968
47,0.0079660856721794,0.0034594263283907,0.0052928130872299,0.0052734487060147,0.0,0.031617087752177,0.0689175687226955,0.161237794958323,0.0
48,0.002118464077843,0.0026535291699094,0.0072259603530817,0.0118292003925969,0.0104173164554445,0.0516172357484286,0.070367835704781,0.1848015290225123,0.0
49,0.0033987482482196,0.0,0.0049221812849564,0.0066093398585125,0.0516835311362008,0.0649895396993796,0.0652186610730696,0.1826003400776304,0.0393713377492889
50,0.0035518184911476,0.0014583577424863,0.0075125208648895,0.0044793463558945,0.0677256587639352,0.0,0.0718485729874466,0.1752026823636445,0.0372047648204475
51,0.0,0.0024504161762327,0.0074149900188865,0.002212613125313,0.0419323441164828,0.061284124435409,0.0378585844586017,0.2061585146383376,0.035402650250953
52,0.0011022001934291,0.0,0.0062456647995139,0.0023383599920922,0.0678943790070716,0.1457310704479507,0.0,0.1741850596725894,0.0351580229508313
53,0.0,0.0034183445403616,0.0066076897233634,0.0024889190247079,0.0711484738782557,0.1436402818146531,0.0,0.0889869279254317,0.0263910580739609
54,0.0,0.0006827703012874,0.0055460015899223,0.0,0.1541804816123582,0.2359191701984246,0.0,0.1433335250286179,0.0212073971205659
55,0.0050734289188733,0.0,0.0067087439586656,0.0,0.1228886759232684,0.2915191458706591,0.0368568105874425,0.1081686402552961,0.0107731900284142
56,0.0054984504143227,0.0030033960046941,0.0056914101405471,0.0,0.1201537549193565,0.3425929700249845,0.0454979383834224,0.1202763369114555,0.0100697216814164
57,0.0028420204023815,0.0023644905719506,0.0030732761817714,0.0,0.1146199397099502,0.0828142351129684,0.0233901265810634,0.0782313209004289,0.0055365950670704
58,0.0,0.0,0.0043337937049799,0.0085018613775397,0.1067211962934757,0.2381235072172653,0.0046511756905887,0.0222659153955315,0.0
59,0.0088394383131279,0.003591368542462,0.0046731128965168,0.0088388750328129,0.1559700165278446,0.2326440678599729,0.0046970669865396,0.1129022058208083,0.007991321041795
60,0.0037617346512444,0.0007656635691445,0.0037534245411981,0.0037389936171707,0.1197346267500052,0.2746985252470639,0.0,0.081733952155057,0.0
61,0.0054242467070577,0.0,0.0,0.000266406263467,0.1292464142148536,0.2432730163374042,0.0,0.1331308380747199,0.0029239590866947
62,0.0,0.0096486920985909,0.001628492783337,0.0,0.1404153771131996,0.1160735782690594,0.0489881906389185,0.0,0.0007008772461231
63,0.0,0.009850047144883,0.0,0.0050059509594877,0.0208675159905619,0.2231060686267088,0.0276280168112766,0.1005116941491482,0.0035151070814208
64,0.0027867000341318,0.0,0.0038424048514737,0.0090886872225162,0.0231833440152202,0.1120174289133829,0.0143435201089716,0.1884931331363856,0.0027139025104565
65,0.0,0.0,0.0026992984341322,0.0,0.0796382415021974,0.1956539429684012,0.0002914959396562,0.2035305615474789,0.0062429504100136
66,0.0,0.0,0.0011230697910748,0.0,0.0372192488439976,0.1071440159871629,0.0,0.1316380545577147,0.0
67,0.00753353489961,0.0,0.0,0.0,0.0,0.1209506146985126,0.0371769259519679,0.1904946679234916,0.0
68,0.0,0.0057075641366086,0.0029685946649329,0.0,0.0,0.0,0.0312703913305332,0.11599957161218,0.0117854328267319
69,0.0,0.0,0.0,0.0,0.0272588314352763,0.1002172901136508,0.0275434046696387,0.1942102653453139,0.0029569221372361
70,0.01561829249909,0.0008476088232619,0.0016977501016953,0.0,0.0617007401869513,0.0888699349949844,0.0298716013016147,0.1471571323168558,0.0071302028792041
71,0.0,0.0,0.0004129404245971,0.0045525168283125,0.022031756282705,0.0,0.0103031517007827,0.1581415179514691,0.0090158244669844
72,0.0,0.0032379147306583,0.0,0.0,0.0,0.0234382045982843,0.0481872330133211,0.1349883428195036,0.0366987827194417
73,0.00627186379658,0.0085915482056286,0.0,0.0046534867977236,0.0013971604412736,0.1072869712285257,0.0507375382074378,0.1106940446376191,0.0217191157357712
74,0.0,0.0,0.0,0.004542628642066,0.0,0.0,0.0407347913627356,0.0954421033593085,0.0231678030210151
75,0.0,0.0,0.0,0.0012641568446087,0.0186682377039476,0.1506937600087742,0.0195916433665078,0.0308310045217965,0.0259733622464426
76,0.0,0.0062074942562783,0.0,0.0,0.0,0.0,0.0490067901048481,0.0882068961164832,0.0335445045164878
77,0.0,0.0,0.0,0.0,0.0,0.0282919902350616,0.0264025766895713,0.1290309006997828,0.027059344777955
78,0.0,0.0046137112739117,0.0,0.0,0.0,0.0,0.0598939675598615,0.0843470771526138,0.0324247585374561
79,0.00369390743009,0.0,0.0,0.0075392294518226,0.0,0.061217328724589,0.0532230691505635,0.079742947753249,0.0341644725789073
80,0.0,0.0,0.0,0.0067730623493268,0.1284259249913417,0.0128359392522537,0.0213486367447909,0.1378155869571664,0.0261619241156405
81,0.0142681850410925,0.0011001509595826,0.0,0.0049430339889253,0.0936395477206636,0.0205084448633215,0.0270714358574126,0.1616061603841887,0.0321590901513445
82,0.0453239626209104,0.0,0.0032332644899975,0.0025838343277928,0.0996599139283987,0.0,0.0344150648230106,0.1153840752272553,0.0297928176995176
83,0.0303930502599509,0.0,0.0,0.0,0.124701860312901,0.0638750925831155,0.0134988137598323,0.1388506147148708,0.0326464238619825
84,0.0085792870824874,0.0066188724860127,0.0,0.0,0.1161176875895666,0.0849416624870926,0.0092484180180208,0.0676965986758483,0.0394888379662832
