n_policy,PPO_Ant_seed1,PPO_Ant_seed2,PPO_Ant_seed3,PPO_Ant_seed4,PPO_Humanoid_seed1,PPO_Humanoid_seed2,PPO_Humanoid_seed3,PPO_Humanoid_seed4,PPO_HumanoidStandup_seed1,PPO_Ant_seed1_100,PPO_Ant_seed1_50,PPO_Ant_seed1_500,PPO_Ant_seed1_25,PPO_Ant_seed1_250,PPO_Ant_seed2_100,PPO_Ant_seed2_50,PPO_Ant_seed2_500,PPO_Ant_seed2_25,PPO_Ant_seed2_250,PPO_Ant_seed3_100,PPO_Ant_seed3_50,PPO_Ant_seed3_500,PPO_Ant_seed3_25,PPO_Ant_seed3_250,PPO_Ant_seed4_100,PPO_Ant_seed4_50,PPO_Ant_seed4_500,PPO_Ant_seed4_25,PPO_Ant_seed4_250,PPO_Humanoid_seed1_100,PPO_Humanoid_seed1_50,PPO_Humanoid_seed1_500,PPO_Humanoid_seed1_25,PPO_Humanoid_seed1_250,PPO_Humanoid_seed2_100,PPO_Humanoid_seed2_50,PPO_Humanoid_seed2_500,PPO_Humanoid_seed2_25,PPO_Humanoid_seed2_250,PPO_Humanoid_seed3_100,PPO_Humanoid_seed3_50,PPO_Humanoid_seed3_500,PPO_Humanoid_seed3_25,PPO_Humanoid_seed3_250,PPO_Humanoid_seed4_100,PPO_Humanoid_seed4_50,PPO_Humanoid_seed4_500,PPO_Humanoid_seed4_25,PPO_Humanoid_seed4_250,PPO_HumanoidStandup_seed1_100,PPO_HumanoidStandup_seed1_50,PPO_HumanoidStandup_seed1_500,PPO_HumanoidStandup_seed1_25,PPO_HumanoidStandup_seed1_250
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0019848636192651,0.0273163200194221,0.0133214300238964,0.0,0.0,0.0028086985919558,0.0,0.0,0.0038883255298376,0.0,0.0,0.00050903523121,0.0,0.00050903523121,0.00050903523121,0.00050903523121,1.1995694840099408e-05,0.0,0.0,1.1995694840099408e-05,0.0,0.0,0.0,0.0019848636192651,0.0,0.0019848636192651,0.0273163200194221,0.0273163200194221,0.0,0.0273163200194221,0.0,0.0,0.0,0.0133214300238964,0.0133214300238964,0.0133214300238964,0.0933506409970912,0.0,0.0,0.0,0.0933506409970912,0.0,0.0,0.0,0.0,0.0113254930493846,0.0028086985919558,0.0028086985919558,0.0028086985919558,0.0,0.0028086985919558
31,0.0,0.0,0.0032158454954188,0.0048432108656401,0.021325370256903,0.0133214300238964,0.0,0.0,0.0078599589343986,0.0,0.0038779364604779,0.0077662619903156,0.0038779364604779,0.0,0.00050903523121,0.0,0.0009075350935028,0.00050903523121,0.0009075350935028,0.0032158454954188,0.0032158454954188,0.0032158454954188,1.1995694840099408e-05,0.0032158454954188,0.0048432108656401,0.0,0.0048432108656401,0.0,0.0048432108656401,0.021325370256903,0.021325370256903,0.0,0.0273163200194221,0.021325370256903,0.0,0.0,0.0133214300238964,0.0133214300238964,0.0133214300238964,0.0933506409970912,0.0,0.0,0.0,0.0933506409970912,0.022029732855862,0.022029732855862,0.022029732855862,0.0,0.0333552259052467,0.0078599589343986,0.0028086985919558,0.0078599589343986,0.0078599589343986,0.0078599589343986
32,0.0,0.0,0.0032158454954188,0.005570140335604,0.021325370256903,0.0133214300238964,0.0,0.0113658454717677,0.0016453668011486,0.0,0.0038779364604779,0.0077662619903156,0.0038779364604779,0.0072017123296191,0.00050903523121,0.0,0.0009075350935028,0.0001945961303434,0.0001945961303434,0.0032158454954188,0.0032158454954188,0.0032158454954188,1.1995694840099408e-05,0.0032158454954188,0.0048432108656401,0.0,0.005570140335604,0.0,0.005570140335604,0.021325370256903,0.021325370256903,0.023826696201241,0.0273163200194221,0.021325370256903,0.0,0.0,0.0133214300238964,0.0133214300238964,0.0133214300238964,0.0508773243525179,0.0,0.0508773243525179,0.0508773243525179,0.0508773243525179,0.0333955783276297,0.0333955783276297,0.0,0.0113658454717677,0.0447210713770144,0.0016453668011486,0.0016453668011486,0.0016453668011486,0.0016453668011486,0.0016453668011486
33,0.0091101466011609,0.0,0.002258535602208,0.0046753925179145,0.021325370256903,0.0154861469932472,0.0943851301899816,0.0204657721877493,0.0,0.0091101466011609,0.0038779364604779,0.0077662619903156,0.0038779364604779,0.0072017123296191,0.0,0.0,0.0013062369586016,0.0,0.0,0.002258535602208,0.002258535602208,0.002258535602208,1.1995694840099408e-05,0.002258535602208,0.0046753925179145,0.0046753925179145,0.005570140335604,0.0046753925179145,0.0046753925179145,0.021325370256903,0.021325370256903,0.023826696201241,0.0273163200194221,0.0468321230724064,0.0021647169693508,0.0,0.0154861469932472,0.0154861469932472,0.0154861469932472,0.0943851301899816,0.0943851301899816,0.0943851301899816,0.0943851301899816,0.0943851301899816,0.0204657721877493,0.0204657721877493,0.0204657721877493,0.0204657721877493,0.0204657721877493,0.0074286796260601,0.0074286796260601,0.0,0.0,0.0
34,0.0083102545790755,0.0,0.002258535602208,0.0046753925179145,0.021325370256903,0.0431388806263108,0.1288590223989412,0.0611564616621838,0.0080529661781891,0.0083102545790755,0.0083102545790755,0.0083102545790755,0.0038779364604779,0.0083102545790755,0.0,0.0,0.0013062369586016,0.0,0.0,0.002258535602208,0.002258535602208,0.002258535602208,1.1995694840099408e-05,0.002258535602208,0.0046753925179145,0.0046753925179145,0.005570140335604,0.0080149719059627,0.0046753925179145,0.021325370256903,0.021325370256903,0.0157323462199118,0.0273163200194221,0.0157323462199118,0.0,0.0,0.0,0.0431388806263108,0.0431388806263108,0.1288590223989412,0.1288590223989412,0.1288590223989412,0.1288590223989412,0.0943851301899816,0.0611564616621838,0.0611564616621838,0.0611564616621838,0.0611564616621838,0.0611564616621838,0.0080529661781891,0.0080529661781891,0.0080529661781891,0.0080529661781891,0.0080529661781891
35,0.0083102545790755,0.0009467510508472,0.002258535602208,0.0046753925179145,0.021325370256903,0.0,0.1288590223989412,0.0611564616621838,0.0062135291739436,0.0083102545790755,0.0083102545790755,0.0021568091646084,0.0038779364604779,0.0021568091646084,0.0,0.0009467510508472,0.0013062369586016,0.0,0.0,0.002258535602208,0.002258535602208,0.002258535602208,0.0027637741094284,0.002258535602208,0.0046753925179145,0.0046753925179145,0.005570140335604,0.0022346088910042,0.0046753925179145,0.021325370256903,0.021325370256903,0.0157323462199118,0.0184642475659727,0.0157323462199118,0.0533469096549564,0.0,0.0533469096549564,0.0,0.0964857902812673,0.1288590223989412,0.1288590223989412,0.1288590223989412,0.1288590223989412,0.0943851301899816,0.0611564616621838,0.0611564616621838,0.0611564616621838,0.0611564616621838,0.0611564616621838,0.0080529661781891,0.0080529661781891,0.0062135291739436,0.0080529661781891,0.0062135291739436
36,0.0076065494187149,0.005134033942883,0.002258535602208,0.0,0.0395768415103338,0.0,0.0993365815975297,0.3881537534402174,0.0008549489931571,0.0076065494187149,0.0083102545790755,0.0021568091646084,0.0038779364604779,0.0076065494187149,0.0041872828920356,0.005134033942883,0.0054935198506373,0.0041872828920356,0.0041872828920356,0.002258535602208,0.002258535602208,0.002258535602208,0.0027637741094284,0.002258535602208,0.0049551636578068,0.0049551636578068,0.0058499114754964,0.0025143800308966,0.0,0.0395768415103338,0.0395768415103338,0.0339838174733426,0.0367157188194035,0.0339838174733426,0.064003917790365,0.064003917790365,0.0533469096549564,0.0,0.064003917790365,0.1288590223989412,0.0993365815975297,0.1288590223989412,0.1288590223989412,0.0943851301899816,0.3881537534402174,0.3881537534402174,0.0,0.3881537534402174,0.3881537534402174,0.0080529661781891,0.0080529661781891,0.0008549489931571,0.0080529661781891,0.0008549489931571
37,0.0076065494187149,0.0,0.002258535602208,0.0015141925034369,0.0395768415103338,0.0211267011065842,0.0993365815975297,0.3881537534402174,0.0127120899850576,0.0076065494187149,0.0083102545790755,0.0021568091646084,0.0038779364604779,0.0076065494187149,0.0058505194308904,0.0,0.007156756389492,0.0058505194308904,0.0058505194308904,0.002258535602208,0.002258535602208,0.002258535602208,0.0027637741094284,0.002258535602208,0.0064693561612438,0.0064693561612438,0.0073641039789334,0.0040285725343336,0.0015141925034369,0.0395768415103338,0.0395768415103338,0.0631121482614497,0.0367157188194035,0.0631121482614497,0.0211267011065842,0.0211267011065842,0.0533469096549564,0.0211267011065842,0.0211267011065842,0.1288590223989412,0.0993365815975297,0.1288590223989412,0.1288590223989412,0.0943851301899816,0.3881537534402174,0.3881537534402174,0.3133946143144842,0.3881537534402174,0.3881537534402174,0.0080529661781891,0.0080529661781891,0.0127120899850576,0.0080529661781891,0.0127120899850576
38,0.0138130620788066,0.0042137253729166,0.0020225586301696,0.0015141925034369,0.0395768415103338,0.0211267011065842,0.0993365815975297,0.3881537534402174,0.0081395252046682,0.0138130620788066,0.0083102545790755,0.0138130620788066,0.0138130620788066,0.0138130620788066,0.0058505194308904,0.0042137253729166,0.0042137253729166,0.0058505194308904,0.0042137253729166,0.0020225586301696,0.0020225586301696,0.0020225586301696,0.0027637741094284,0.0020225586301696,0.0064693561612438,0.001881725790315,0.001881725790315,0.001881725790315,0.0015141925034369,0.0395768415103338,0.0395768415103338,0.0631121482614497,0.0367157188194035,0.0631121482614497,0.0211267011065842,0.0211267011065842,0.0414868124960168,0.0211267011065842,0.0414868124960168,0.0045863646996399,0.0993365815975297,0.0045863646996399,0.0045863646996399,0.0045863646996399,0.3881537534402174,0.3881537534402174,0.3133946143144842,0.3881537534402174,0.3881537534402174,0.0081395252046682,0.0081395252046682,0.0081395252046682,0.0081395252046682,0.0081395252046682
