n_policy,PPO_Ant_seed1,PPO_Ant_seed2,PPO_Ant_seed3,PPO_Ant_seed4,PPO_Humanoid_seed1,PPO_Humanoid_seed2,PPO_Humanoid_seed3,PPO_Humanoid_seed4,PPO_HumanoidStandup_seed1
29,0.050936,-0.0,-0.0,0.0115039999999999,-0.0,-0.0,0.06624,0.1373439999999999,-0.0
30,-0.0,0.017768,-0.0,0.0574479999999999,-0.0,0.2012480000000001,-0.0,-0.0,-0.0
31,0.0673840000000001,-0.0,0.0758080000000001,0.034032,0.2663759999999999,0.1479680000000001,0.778816,-0.0,0.244904
32,0.0161599999999999,-0.0,0.004032,-0.0,0.031624,0.1888559999999999,-0.0,-0.0,-0.0
33,-0.0,0.051984,0.020188,0.0217359999999999,0.308416,-0.0,0.4266799999999999,0.18656,-0.0
34,-0.0,-0.0,-0.0,0.064472,-0.0,-0.0,0.5440559999999999,-0.0,0.2572399999999999
35,0.0108559999999999,-0.0,0.023136,-0.0,0.0420959999999999,-0.0,0.31372,0.0123120000000001,-0.0
36,-0.0,-0.0,0.0449759999999999,-0.0,-0.0,0.6084559999999999,-0.0,-0.0,-0.0
37,0.0357039999999999,0.0458799999999999,-0.0,-0.0,0.706504,-0.0,-0.0,0.8369200000000001,0.3351359999999999
38,0.0250399999999999,0.118624,0.0538479999999998,-0.0,-0.0,0.2059679999999999,-0.0,-0.0,-0.0
39,0.0974319999999999,-0.0,0.005584,-0.0,-0.0,-0.0,0.203384,-0.0,-0.0
40,-0.0,-0.0,-0.0,-0.0,0.437384,-0.0,0.0314239999999998,0.1106799999999998,-0.0
41,0.0283359999999999,-0.0,-0.0,0.0345120000000001,-0.0,-0.0,-0.0,0.388328,-0.0
42,0.0254559999999999,-0.0,-0.0,-0.0,-0.0,0.262864,0.5500479999999999,0.0634479999999999,-0.0
43,-0.0,-0.0,-0.0,0.1000399999999999,-0.0,-0.0,0.4068879999999999,0.3993839999999999,-0.0
44,0.0027999999999999,0.024512,0.028496,-0.0,-0.0,0.3950960000000001,0.1138719999999999,-0.0,-0.0
45,-0.0,-0.0,0.072392,0.0259119999999999,-0.0,-0.0,-0.0,-0.0,-0.0
46,-0.0,0.0782560000000001,0.0834479999999999,0.01424,-0.0,0.007608,-0.0,-0.0,0.060008
47,0.0898080000000001,0.0224079999999999,-0.0,-0.0,-0.0,-0.0,-0.0,0.3260480000000001,-0.0
48,-0.0,-0.0,0.0499519999999999,0.044936,0.04756,0.07928,0.0023280000000001,0.0689599999999999,-0.0
49,0.0266079999999999,-0.0,-0.0,-0.0,0.4001999999999999,0.0649440000000001,-0.0,-0.0,0.473848
50,-0.0,0.0017439999999999,0.095088,-0.0,0.204048,-0.0,0.0196959999999999,0.0310559999999999,0.0010399999999999
51,-0.0,0.0113199999999999,0.0232959999999999,0.008248,-0.0,0.2123520000000001,-0.0,0.0762879999999999,-0.0
52,-0.0,-0.0,-0.0,-0.0,0.257376,0.4705440000000001,-0.0,-0.0,-0.0
53,-0.0,-0.0,0.006248,-0.0,0.0034959999999999,-0.0,-0.0,-0.0,-0.0
