process_id,degradation_level,rank_last,rank_best_train,rank_best_test,not_first_prob
PPO_Ant_seed1,,1,2,3,1.0
PPO_Ant_seed1,0.050936,1,2,3,0.5
PPO_Ant_seed1,0.025468,1,2,3,0.5
PPO_Ant_seed1,0.03944000000000003,3,1,2,0.0
PPO_Ant_seed1,0.03362,2,3,1,0.4256722345152752
PPO_Ant_seed1,0.026895999999999996,2,3,1,0.46664472472867524
PPO_Ant_seed1,0.02241333333333333,1,3,2,0.4078551590205197
PPO_Ant_seed1,0.0207622857142857,2,3,1,0.5098154559985839
PPO_Ant_seed1,0.018166999999999985,2,3,1,0.5346395693638014
PPO_Ant_seed1,0.020115555555555532,2,3,1,0.28074415639004646
PPO_Ant_seed1,0.020607999999999967,2,3,1,0.2352024705999704
PPO_Ant_seed1,0.02759199999999996,2,3,1,0.2702820838320362
PPO_Ant_seed1,0.02529266666666663,2,3,1,0.24347178953938642
PPO_Ant_seed1,0.02552676923076919,2,3,1,0.24913169101595287
PPO_Ant_seed1,0.02552171428571424,2,3,1,0.41210008667082065
PPO_Ant_seed1,0.023820266666666628,1,2,3,0.8800085024381998
PPO_Ant_seed1,0.022506499999999957,3,1,2,0.6781757126490054
PPO_Ant_seed1,0.021182588235294078,1,2,3,0.0
PPO_Ant_seed1,0.02000577777777774,2,3,1,0.7063381765481824
PPO_Ant_seed1,0.023679578947368392,1,3,2,0.3212170308582264
PPO_Ant_seed1,0.02249559999999997,1,3,2,0.5153430885829762
PPO_Ant_seed1,0.02269142857142854,1,3,2,0.5385527193056944
PPO_Ant_seed1,0.02165999999999997,1,2,3,0.5
PPO_Ant_seed1,0.02071826086956519,1,2,3,0.5650105110536978
PPO_Ant_seed1,0.01985499999999997,1,2,3,0.5
PPO_Ant_seed1,0.01906079999999997,1,2,3,0.5
PPO_Ant_seed1,0.01832769230769228,3,1,2,0.5
PPO_Ant_seed1,0.017648888888888863,3,1,2,0.5
PPO_Ant_seed1,0.017018571428571404,2,3,1,0.0
PPO_Ant_seed1,0.01643172413793101,1,2,3,0.5
PPO_Ant_seed1,0.016641599999999975,2,3,1,0.4522057287561573
PPO_Ant_seed1,0.01693961290322578,1,2,3,0.970540958347218
PPO_Ant_seed1,0.016410249999999973,3,1,2,0.8172927613533256
PPO_Ant_seed1,0.015912969696969672,1,2,3,0.5
PPO_Ant_seed1,0.015444941176470564,1,2,3,0.0
PPO_Ant_seed1,0.015003657142857119,1,2,3,0.5792113983727116
PPO_Ant_seed1,0.014586888888888865,1,2,3,0.5
PPO_Ant_seed1,0.014192648648648627,1,2,3,0.5
PPO_Ant_seed1,0.015203368421052606,2,3,1,0.0
PPO_Ant_seed1,0.014813538461538437,1,2,3,0.5
PPO_Ant_seed1,0.014443199999999979,1,2,3,0.0
PPO_Ant_seed1,0.014090926829268272,3,1,2,0.7944146369740301
PPO_Ant_seed1,0.014836190476190458,1,2,3,0.5
PPO_Ant_seed1,0.014491162790697657,1,2,3,0.5
PPO_Ant_seed1,0.014547636363636348,1,2,3,0.6175349173265703
PPO_Ant_seed1,0.014999822222222209,1,2,3,0.0
PPO_Ant_seed1,0.014673739130434769,1,2,3,0.5
PPO_Ant_seed1,0.014361531914893604,1,2,3,0.0
PPO_Ant_seed1,0.01406233333333332,1,2,3,0.5
PPO_Ant_seed1,0.013775346938775497,1,2,3,0.5
PPO_Ant_seed1,0.013499839999999987,1,2,3,0.526190768149057
PPO_Ant_seed1,0.01473003921568626,1,2,3,0.0
PPO_Ant_seed1,0.014446769230769218,1,2,3,0.5642850000893735
PPO_Ant_seed1,0.015173433962264135,2,1,3,0.2216872241670826
PPO_Ant_seed1,0.016712444444444426,1,2,3,0.6369352326907919
PPO_Ant_seed1,0.016408581818181802,1,2,3,0.5386537929860092
PPO_Ant_seed1,0.01611557142857141,1,2,3,0.6589523669026016
PPO_Ant_seed1,0.016637894736842084,1,2,3,0.35000650627827307
